company;drn
Bank of Scotland Plc;DRN-4161057
Acasta European Insurance Company Limited;DRN-4161081
U K Insurance Limited;DRN-4161090
Janus Henderson Fund Management UK Limited;DRN-4161093
Mitsubishi HC Capital UK Plc;DRN-4161105
Royal & Sun Alliance Insurance Limited;DRN-4161106
J.P. Morgan Europe Limited;DRN-4161125
Nutmeg Saving and Investment Limited;DRN-4161130
AXA Insurance UK Plc;DRN-4161195
American Express Services Europe Limited (AESEL);DRN-4161228
Advantage Insurance Company Limited;DRN-4161233
Aviva Life Services UK Limited;DRN-4161259
TSB Bank plc;DRN-4161287
Harvey & Thompson Limited;DRN-4161294
Prestige Finance Limited;DRN-4161309
Barclays Bank UK PLC;DRN-4161342
London Community Credit Union Limited;DRN-4161387
National Westminster Bank Plc;DRN-4161428
Advantage Insurance Company Limited;DRN-4161443
Santander UK Plc;DRN-4161454
Madison CF UK Limited;DRN-4161458
Lloyds Bank PLC;DRN-4161466
Accord Mortgages Limited;DRN-4161488
Startline Motor Finance Limited;DRN-4161490
Barclays Bank UK PLC;DRN-4161511
Aviva Insurance Limited;DRN-4161543
MPA Financial Management Limited;DRN-4161642
Sporting Index Limited;DRN-4161676
Acromas Insurance Company Limited;DRN-4161726
Lloyds Bank PLC;DRN-4161765
Lloyds Bank PLC;DRN-4161802
Principality Building Society;DRN-4161811
Vitality Life Limited;DRN-4161822
Tesco Personal Finance PLC;DRN-4161827
QIC Europe Ltd;DRN-4161846
WPS ADVISORY Ltd;DRN-4161901
Liverpool Victoria Insurance Company Limited;DRN-4161958
Bank of Scotland Plc;DRN-4161984
U K Insurance Limited;DRN-4162051
Barclays Bank UK PLC;DRN-4162061
TSB Bank plc;DRN-4162101
St. James's Place Wealth Management Plc;DRN-4162132
Equifax Limited;DRN-4162148
Aviva Insurance Limited;DRN-4162187
Mortgage Express;DRN-4162210
Morses Club PLC;DRN-4162263
HSBC UK Bank Plc;DRN-4162281
Bank of Scotland Plc;DRN-4162288
Lloyds Bank PLC;DRN-4162293
Ikano Bank AB (publ);DRN-4162296
Ageas Insurance Limited;DRN-4162328
PayPal (Europe) Sarl et Cie SCA;DRN-4162339
Shawbrook Bank Limited;DRN-4162386
Virgin Media Mobile Finance Limited;DRN-4162426
American Express Services Europe Limited (AESEL);DRN-4162430
BUPA Insurance Limited;DRN-4162455
Aviva Equity Release UK Limited;DRN-4162461
Skrill Limited;DRN-4162477
Domestic & General Insurance Plc;DRN-4162489
Monzo Bank Ltd;DRN-4162497
Barclays Bank UK PLC;DRN-4162502
HSBC UK Bank Plc;DRN-4162518
Shelby Finance Ltd;DRN-4162529
AWP P&C SA;DRN-4162563
Eurofund (UK) PLC;DRN-4162715
National Westminster Bank Plc;DRN-4162719
Aviva Insurance Limited;DRN-4162732
Newline Insurance Company Limited;DRN-4162735
Options UK Personal Pensions LLP;DRN-4162752
PrePay Technologies Limited;DRN-4162762
Barclays Bank UK PLC;DRN-4162779
abrdn Financial Planning And Advice Limited;DRN-4162783
Liverpool Victoria Insurance Company Limited;DRN-4162810
Inter Partner Assistance SA;DRN-4162852
Lowell Portfolio I Ltd;DRN-4162946
Euroins AD;DRN-4162991
Hiscox Insurance Company Limited;DRN-4163012
Landmark Mortgages Limited;DRN-4163015
NewDay Ltd;DRN-4163080
Covea Insurance plc;DRN-4163098
Automobile Association Insurance Services Limited;DRN-4163127
Vitality Health Limited;DRN-4163156
Tesco Personal Finance PLC;DRN-4163159
Society of Lloyd's;DRN-4163168
Highway Insurance Company Limited;DRN-4163172
Blue Motor Finance Ltd;DRN-4163176
Allianz Insurance Plc;DRN-4163198
WorldRemit Ltd;DRN-4163236
Capital One (Europe) plc;DRN-4163255
American Express Services Europe Limited (AESEL);DRN-4163264
AXA Insurance UK Plc;DRN-4163273
Great Lakes Insurance SE;DRN-4163277
Nationwide Building Society;DRN-4163290
Lowell Financial Ltd;DRN-4163298
PayPal (Europe) Sarl et Cie SCA;DRN-4163306
National Westminster Bank Plc;DRN-4163331
Revolut Ltd;DRN-4163335
Creation Consumer Finance Ltd;DRN-4163344
National Westminster Bank Plc;DRN-4163395
HSBC UK Bank Plc;DRN-4163396
Progressive Building Society;DRN-4163400
Red Sands Insurance Company (Europe) Limited;DRN-4163407
First Data Europe Limited;DRN-4163464
Bank of Scotland Plc;DRN-4163553
Advanced Payment Solutions Limited;DRN-4163572
U K Insurance Limited;DRN-4163936
Tesco Personal Finance PLC;DRN-4163961
Montage Portfolio Management Ltd;DRN-4163971
Admiral Insurance (Gibraltar) Limited;DRN-4163975
Lifestyle Financial Services (Droitwich) Limited;DRN-4163976
Society of Lloyd's;DRN-4163993
The Prudential Assurance Company Limited;DRN-4164061
Nationwide Building Society;DRN-4164065
Liverpool Victoria Insurance Company Limited;DRN-4164094
Financial Administration Services Limited;DRN-4164104
National Westminster Bank Plc;DRN-4164125
Leek United Building Society;DRN-4164156
Loans 2 Go Limited;DRN-4164180
Volkswagen Financial Services (UK) Limited;DRN-4164185
Santander UK Plc;DRN-4164186
National Westminster Bank Plc;DRN-4164200
ReAssure Limited;DRN-4164219
Admiral Insurance (Gibraltar) Limited;DRN-4164229
Lloyds Bank PLC;DRN-4164236
American International Group UK Limited;DRN-4164242
Cofunds Limited;DRN-4164248
Domestic & General Insurance Plc;DRN-4164249
AXA Insurance UK Plc;DRN-4164260
HSBC UK Bank Plc;DRN-4164272
Great Lakes Insurance SE;DRN-4164278
Succession Wealth Management Ltd;DRN-4164320
Casualty & General Insurance Company (Europe) Ltd;DRN-4164332
Aviva Insurance Limited;DRN-4164380
Santander UK Plc;DRN-4164410
Santander UK Plc;DRN-4164444
esure Insurance Limited;DRN-4164457
British Gas Insurance Limited;DRN-4164472
Legal and General Assurance Society Limited;DRN-4164475
Gresham Insurance Company Limited;DRN-4164492
The Royal Bank of Scotland Plc;DRN-4164494
Bank of Scotland Plc;DRN-4164585
Ageas Insurance Limited;DRN-4164626
Sainsbury's Bank Plc;DRN-4164649
Clydesdale Bank Plc;DRN-4164654
Close Brothers Limited;DRN-4164670
AWP P&C SA;DRN-4164691
Legal and General Assurance Society Limited;DRN-4164708
Embark Investment Services Limited;DRN-4164732
Santander UK Plc;DRN-4164752
Pi Financial Ltd;DRN-4164773
Gresham Insurance Company Limited;DRN-4164789
RCI Financial Services Limited;DRN-4164805
Madison CF UK Limited;DRN-4164826
HSBC UK Bank Plc;DRN-4164858
Monzo Bank Ltd;DRN-4164863
The National Farmers' Union Mutual Insurance Society Limited;DRN-4164874
Accredited Insurance (Europe) Ltd;DRN-4164942
Casualty & General Insurance Company (Europe) Ltd;DRN-4164965
St Andrew's Insurance plc;DRN-4165055
Barclays Bank UK PLC;DRN-4165067
Oakbrook Finance Limited;DRN-4165146
Society of Lloyd's;DRN-4165163
Aviva Insurance Limited;DRN-4165192
Shelby Finance Ltd;DRN-4165248
HSBC UK Bank Plc;DRN-4165249
Madison CF UK Limited;DRN-4165255
Stagemount Limited;DRN-4165276
Valour Finance Limited;DRN-4165312
Liverpool Victoria Insurance Company Limited;DRN-4165325
ClearBank Limited;DRN-4165462
Barclays Bank UK PLC;DRN-4165463
Oplo PL Ltd;DRN-4165529
Target Servicing Limited;DRN-4165564
Barclays Bank UK PLC;DRN-4165574
Red Sands Insurance Company (Europe) Limited;DRN-4165581
BMW Financial Services(GB) Limited;DRN-4165678
Healthcare Finance Limited;DRN-4165847
Barclays Bank UK PLC;DRN-4165853
Revolut Ltd;DRN-4165884
AWP P&C SA;DRN-4165921
Aviva Insurance Limited;DRN-4165951
Nationwide Building Society;DRN-4165976
Loans 2 Go Limited;DRN-4165979
HSBC UK Bank Plc;DRN-4166113
Metro Bank PLC;DRN-4166153
Allianz Global Corporate & Specialty SE;DRN-4166270
Metro Bank PLC;DRN-4166273
Ikano Bank AB (publ);DRN-4166296
Gain Credit LLC;DRN-4166302
Bank of Scotland Plc;DRN-4166307
Klarna Bank AB (publ);DRN-4166313
HSBC UK Bank Plc;DRN-4166329
Bank of Scotland Plc;DRN-4166333
Whiting Group Limited;DRN-4166358
Nationwide Building Society;DRN-4166363
BMW Financial Services(GB) Limited;DRN-4166371
Neovision Wealth Management Limited;DRN-4166377
Liverpool Victoria Insurance Company Limited;DRN-4166384
U K Insurance Limited;DRN-4166402
Acromas Insurance Company Limited;DRN-4166425
HSBC UK Bank Plc;DRN-4166448
Moneybarn No. 1 Limited;DRN-4166474
Novaloans Ltd;DRN-4166477
Admiral Insurance (Gibraltar) Limited;DRN-4166502
ReAssure Limited;DRN-4166535
Madison CF UK Limited;DRN-4166555
Loans 2 Go Limited;DRN-4166562
Advantage Insurance Company Limited;DRN-4166612
Oplo PL Ltd;DRN-4166631
Clydesdale Bank Plc;DRN-4166632
British Gas Services Limited;DRN-4166638
Atkinson Rose LLP;DRN-4166641
Blue Motor Finance Ltd;DRN-4166701
Revolut Ltd;DRN-4166759
Liverpool Victoria Insurance Company Limited;DRN-4166768
Shop Direct Finance Company Limited;DRN-4166786
Mulsanne Insurance Company Limited;DRN-4166819
One Insurance Limited;DRN-4166828
HSBC UK Bank Plc;DRN-4166848
Specialist Motor Finance Limited;DRN-4166874
HSBC UK Bank Plc;DRN-4166881
PDL Finance Limited;DRN-4166890
Barclays Bank UK PLC;DRN-4166938
Advanced Payment Solutions Limited;DRN-4166956
Specialist Motor Finance Limited;DRN-4166961
HSBC UK Bank Plc;DRN-4166984
Startline Motor Finance Limited;DRN-4166997
FUND OURSELVES LIMITED;DRN-4167010
Nationwide Building Society;DRN-4167032
Omni Capital Retail Finance Limited;DRN-4167142
Age Partnership Limited;DRN-4167156
Moneybarn No. 1 Limited;DRN-4167196
Covea Insurance plc;DRN-4167235
Zopa Bank Limited;DRN-4167245
National Westminster Bank Plc;DRN-4167262
Zurich Assurance Ltd;DRN-4167289
Nationwide Building Society;DRN-4167292
Royal & Sun Alliance Insurance Limited;DRN-4167319
Fairmead Insurance Limited;DRN-4167395
U K Insurance Limited;DRN-4167407
Santander UK Plc;DRN-4167423
The Royal Bank of Scotland Plc;DRN-4167580
ReAssure Limited;DRN-4167624
The Co-operative Bank Plc;DRN-4167661
QIC Europe Ltd;DRN-4167676
Soteria Insurance Limited;DRN-4167684
National Westminster Bank Plc;DRN-4167714
Northern Bank Limited;DRN-4167754
AXA Insurance UK Plc;DRN-4167799
Charter Court Financial Services Limited;DRN-4167896
Tesco Personal Finance PLC;DRN-4167908
Curtis Banks Limited;DRN-4167923
Fluro Platform Limited;DRN-4168012
U K Insurance Limited;DRN-4168015
Morses Club PLC;DRN-4168040
Santander UK Plc;DRN-4168109
Covea Insurance plc;DRN-4168166
Legal & General (Portfolio Management Services) Ltd;DRN-4168252
ERGO Versicherung Aktiengesellschaft;DRN-4168273
Western Circle Ltd;DRN-4168324
Barclays Bank UK PLC;DRN-4168366
Everyday Lending Limited;DRN-4168462
Homeserve Membership Limited;DRN-4168477
Lloyds Bank PLC;DRN-4168536
Capital One (Europe) plc;DRN-4168537
Clydesdale Bank Plc;DRN-4168542
British Gas Insurance Limited;DRN-4168579
Zurich Assurance Ltd;DRN-4168842
Metro Bank PLC;DRN-4169063
Capital Home Loans Limited;DRN-4169116
Advantage Insurance Company Limited;DRN-4169231
esure Insurance Limited;DRN-4169355
Loans 2 Go Limited;DRN-4169522
Evergreen Finance London Limited;DRN-4169526
Startline Motor Finance Limited;DRN-4169528
Accredited Insurance (Europe) Ltd;DRN-4169548
Ageas Insurance Limited;DRN-4169563
UBS AG;DRN-4169567
Royal & Sun Alliance Insurance Limited;DRN-4169591
Evergreen Finance London Limited;DRN-4169633
PayPal (Europe) Sarl et Cie SCA;DRN-4169670
QIC Europe Ltd;DRN-4169679
Santander UK Plc;DRN-4169681
Legal and General Assurance Society Limited;DRN-4169689
Lloyds Bank PLC;DRN-4169721
Topaz Finance Limited;DRN-4169725
Aviva Life & Pensions UK Limited;DRN-4169742
Bradford & Bingley Limited;DRN-4169752
HSBC UK Bank Plc;DRN-4169762
HSBC UK Bank Plc;DRN-4169780
British Gas Insurance Limited;DRN-4169798
American Express Services Europe Limited (AESEL);DRN-4169818
Nationwide Building Society;DRN-4169882
Liverpool Victoria Insurance Company Limited;DRN-4169934
Great Lakes Insurance SE;DRN-4169943
Vitality Health Limited;DRN-4169949
Monzo Bank Ltd;DRN-4169965
Liverpool Victoria Financial Advice Services Limited;DRN-4170004
EFG Private Bank Limited;DRN-4170069
Covea Insurance plc;DRN-4170118
Aviva Insurance Limited;DRN-4170209
Lloyds Bank PLC;DRN-4170271
Liverpool Victoria Insurance Company Limited;DRN-4170296
U K Insurance Limited;DRN-4170342
Mitsubishi HC Capital UK Plc;DRN-4170350
Sainsbury's Bank Plc;DRN-4170413
Kent and Sussex Financial Group Ltd;DRN-4170434
esure Insurance Limited;DRN-4170440
Bank of Scotland Plc;DRN-4170442
Hargreaves Lansdown Asset Management Limited;DRN-4170452
Astrenska Insurance Limited;DRN-4170455
Bank of Scotland Plc;DRN-4170462
Legal and General Assurance Society Limited;DRN-4170470
Aviva Insurance Limited;DRN-4170492
Aviva Insurance Limited;DRN-4170506
Scottish Widows Limited;DRN-4170519
National Westminster Bank Plc;DRN-4170542
Tesco Personal Finance PLC;DRN-4170550
ReAssure Limited;DRN-4170587
Currys Group Limited;DRN-4170592
The Co-operative Bank Plc;DRN-4170603
NewDay Ltd;DRN-4170718
Madison CF UK Limited;DRN-4170757
West Bay Insurance Plc;DRN-4170762
Admiral Insurance (Gibraltar) Limited;DRN-4170863
BMW Financial Services(GB) Limited;DRN-4170879
Retirement Line Limited;DRN-4170925
NewDay Ltd;DRN-4171018
Monzo Bank Ltd;DRN-4171072
J D Williams & Company Limited;DRN-4171152
London & Colonial Services Limited;DRN-4171163
Advantage Insurance Company Limited;DRN-4171169
AXA PPP Healthcare Limited;DRN-4171197
Lloyds Bank PLC;DRN-4171202
Barclays Bank UK PLC;DRN-4171293
Revolut Ltd;DRN-4171318
British Gas Insurance Limited;DRN-4171320
Lantern Debt Recovery Services Ltd;DRN-4171447
Nationwide Building Society;DRN-4171451
Zurich Insurance PLC;DRN-4171480
East End Fair Finance Limited;DRN-4171508
ARAG Allgemeine Versicherungs-Aktiengesellschaft;DRN-4171541
esure Insurance Limited;DRN-4171630
Markerstudy Insurance Services Limited;DRN-4171662
Nationwide Building Society;DRN-4171691
Tesco Personal Finance PLC;DRN-4171731
Santander UK Plc;DRN-4171738
Financial Administration Services Limited;DRN-4171748
Lighthouse Advisory Services Limited;DRN-4171790
Lloyds Bank PLC;DRN-4171864
U K Insurance Limited;DRN-4171876
U K Insurance Limited;DRN-4171887
Kensington Mortgage Company Limited;DRN-4171956
Zopa Bank Limited;DRN-4172038
Origen Financial Services Limited;DRN-4172059
Motability Operations Limited;DRN-4172071
Barclays Bank UK PLC;DRN-4172074
John Lewis Financial Services Limited;DRN-4172093
Clydesdale Bank Plc;DRN-4172097
Lloyds Bank PLC;DRN-4172149
Bank of Scotland Plc;DRN-4172161
J.P. Morgan Europe Limited;DRN-4172164
Santander UK Plc;DRN-4172180
Lloyds Bank PLC;DRN-4172195
Santander UK Plc;DRN-4172213
Bank of Scotland Plc;DRN-4172216
Mitsubishi HC Capital UK Plc;DRN-4172229
Santander UK Plc;DRN-4172294
My Finance Club Limited;DRN-4172298
Santander UK Plc;DRN-4172332
Admiral Insurance (Gibraltar) Limited;DRN-4172336
MS Amlin Insurance SE;DRN-4172349
Amber Homeloans Limited;DRN-4172351
Liverpool Victoria Insurance Company Limited;DRN-4172365
Advanced Payment Solutions Limited;DRN-4172369
Phoenix Life Limited;DRN-4172404
Bank of Scotland Plc;DRN-4172408
Bank of Scotland Plc;DRN-4172413
TRANSUNION INTERNATIONAL UK LIMITED;DRN-4172419
The Prudential Assurance Company Limited;DRN-4172428
Morses Club PLC;DRN-4172429
Advanced Payment Solutions Limited;DRN-4172461
Monument Life Insurance Dac;DRN-4172470
AXA Insurance UK Plc;DRN-4172515
Advanced Payment Solutions Limited;DRN-4172558
Lendable Ltd;DRN-4172584
Aviva Insurance Limited;DRN-4172669
Barclays Bank UK PLC;DRN-4172680
The Royal Bank of Scotland Plc;DRN-4172687
The Royal Bank of Scotland Plc;DRN-4172694
Financial Administration Services Limited;DRN-4172739
Astrenska Insurance Limited;DRN-4172741
Vauxhall Finance plc;DRN-4172754
Madison CF UK Limited;DRN-4172760
Royal & Sun Alliance Insurance Limited;DRN-4172810
Scottish Widows Limited;DRN-4172817
Lloyds Bank PLC;DRN-4172819
Scottish Widows Limited;DRN-4172821
Santander UK Plc;DRN-4172845
Assurant General Insurance Limited;DRN-4172849
Liverpool Victoria Insurance Company Limited;DRN-4172860
Lloyds Bank PLC;DRN-4172865
Zopa Bank Limited;DRN-4172871
Barclays Bank UK PLC;DRN-4172891
Royal & Sun Alliance Insurance Limited;DRN-4172897
Clydesdale Financial Services Limited;DRN-4172919
ClearBank Limited;DRN-4172922
National Westminster Bank Plc;DRN-4172940
Santander UK Plc;DRN-4172965
Shawbrook Bank Limited;DRN-4172977
British Gas Insurance Limited;DRN-4173007
Lloyds Bank General Insurance Limited;DRN-4173117
Klarna Bank AB (publ);DRN-4173159
TSB Bank plc;DRN-4173355
Morses Club PLC;DRN-4173449
Royal & Sun Alliance Insurance Limited;DRN-4173522
Moneybarn No. 1 Limited;DRN-4173533
National Westminster Bank Plc;DRN-4173603
AWP P&C SA;DRN-4173674
Moneybarn No. 1 Limited;DRN-4173699
Hargreaves Lansdown Asset Management Limited;DRN-4173717
Aviva Insurance Limited;DRN-4173739
Novaloans Ltd;DRN-4173764
HSBC UK Bank Plc;DRN-4173773
Domestic & General Insurance Plc;DRN-4173811
Chaucer Insurance Company Designated Activity Company;DRN-4173840
HSBC UK Bank Plc;DRN-4173859
Revolut Ltd;DRN-4173869
AWP P&C SA;DRN-4173894
Barclays Bank UK PLC;DRN-4173961
Skrill Limited;DRN-4173969
Revolut Ltd;DRN-4174002
Zopa Limited;DRN-4174009
Santander UK Plc;DRN-4174064
Stagemount Limited;DRN-4174098
Tesco Personal Finance PLC;DRN-4174102
Haven Insurance Company Limited;DRN-4174105
ERGO Versicherung Aktiengesellschaft;DRN-4174122
Loans 2 Go Limited;DRN-4174124
Standard Life Assurance Limited;DRN-4174125
Barclays Bank UK PLC;DRN-4174152
Tesco Personal Finance PLC;DRN-4174213
Barclays Bank UK PLC;DRN-4174233
Capital Home Loans Limited;DRN-4174246
Phoenix Life Limited;DRN-4174266
AA Underwriting Insurance Company Limited;DRN-4174414
Revolut Ltd;DRN-4174470
Tesco Personal Finance PLC;DRN-4174496
Mitsubishi HC Capital UK Plc;DRN-4174497
National Westminster Bank Plc;DRN-4174589
Nationwide Building Society;DRN-4174646
Aviva Equity Release UK Limited;DRN-4174650
HSBC UK Bank Plc;DRN-4174728
Western Circle Ltd;DRN-4174806
Wakam;DRN-4174823
AXA Insurance UK Plc;DRN-4174833
Burfield Financial Planning Limited;DRN-4174836
J.P. Morgan Europe Limited;DRN-4174857
Liberty Seguros Compania de Seguros Y Reaseguros, S.A.;DRN-4174862
Covea Insurance plc;DRN-4174877
Nationwide Building Society;DRN-4174966
Clydesdale Bank Plc;DRN-4174970
The Prudential Assurance Company Limited;DRN-4175035
Tesco Personal Finance PLC;DRN-4175039
HSBC UK Bank Plc;DRN-4175052
Mitsubishi HC Capital UK Plc;DRN-4175078
British Gas Insurance Limited;DRN-4175142
QIC Europe Ltd;DRN-4175165
Starling Bank Limited;DRN-4175194
Casualty & General Insurance Company (Europe) Ltd;DRN-4175225
ClearBank Limited;DRN-4175228
DAS Legal Expenses Insurance Company Limited;DRN-4175245
Utmost Life and Pensions Limited;DRN-4175275
Connells Limited;DRN-4175300
Lloyds Bank PLC;DRN-4175332
PayrNet Limited;DRN-4175366
Barclays Bank UK PLC;DRN-4175407
Aviva Insurance Limited;DRN-4175418
U K Insurance Limited;DRN-4175466
Tesco Personal Finance PLC;DRN-4175475
Advantage Insurance Company Limited;DRN-4175476
Royal & Sun Alliance Insurance Limited;DRN-4175520
Vauxhall Finance plc;DRN-4175536
QIC Europe Ltd;DRN-4175546
Lloyds Bank PLC;DRN-4175548
LEASYS UK LTD;DRN-4175549
Barclays Bank UK PLC;DRN-4175581
esure Insurance Limited;DRN-4175612
Mitsubishi HC Capital UK Plc;DRN-4175656
HSBC UK Bank Plc;DRN-4175680
West Bay Insurance Plc;DRN-4175694
Digital Moneybox Limited;DRN-4175702
Sainsbury's Bank Plc;DRN-4175726
Marks & Spencer Financial Services plc;DRN-4175734
Santander UK Plc;DRN-4175766
HSBC UK Bank Plc;DRN-4175803
AJH Financial Services Ltd;DRN-4175821
Loans 2 Go Limited;DRN-4175893
Great Lakes Insurance SE;DRN-4175904
Lloyds Bank PLC;DRN-4175950
Clydesdale Bank Plc;DRN-4175953
Secure Trust Bank Plc;DRN-4175986
Lex Autolease Ltd;DRN-4176005
Legal and General Assurance Society Limited;DRN-4176071
Wise Payments Limited;DRN-4176081
Lloyds Bank PLC;DRN-4176099
Santander Consumer (UK) Plc;DRN-4176119
Monzo Bank Ltd;DRN-4176120
Great Lakes Insurance SE;DRN-4176133
Link Financial Outsourcing Limited;DRN-4176157
Royal & Sun Alliance Insurance Limited;DRN-4176186
Barclays Bank UK PLC;DRN-4176222
Folgate Insurance Company Ltd;DRN-4176236
Society of Lloyd's;DRN-4176249
Santander UK Plc;DRN-4176250
Medicash Health Benefits Limited;DRN-4176294
Aviva Insurance Limited;DRN-4176306
TenetConnect Limited;DRN-4176310
BMW Financial Services(GB) Limited;DRN-4176333
AXA Insurance UK Plc;DRN-4176336
Wealth Solutions (UK) Limited;DRN-4176452
Barclays Bank UK PLC;DRN-4176572
Admiral Insurance (Gibraltar) Limited;DRN-4176583
Barclays Bank UK PLC;DRN-4176589
Covea Insurance plc;DRN-4176594
Moneybarn No. 1 Limited;DRN-4176611
Aviva Insurance Limited;DRN-4176639
Evelyn Partners Investment Management Services Limited;DRN-4176753
Advantage Finance Ltd;DRN-4176764
Clydesdale Bank Plc;DRN-4176772
Loans 2 Go Limited;DRN-4176783
Mulsanne Insurance Company Limited;DRN-4176812
National Westminster Bank Plc;DRN-4176869
esure Insurance Limited;DRN-4176882
British Gas Insurance Limited;DRN-4176903
Barclays Bank UK PLC;DRN-4176908
National Westminster Bank Plc;DRN-4176939
National Westminster Bank Plc;DRN-4176940
HSBC UK Bank Plc;DRN-4176949
Aviva Insurance Limited;DRN-4176990
Capital Professional Limited;DRN-4177002
The Co-operative Bank Plc;DRN-4177024
Bank of Scotland Plc;DRN-4177037
Aon UK Limited;DRN-4177052
Mi Vehicle Finance Limited;DRN-4177069
Advantage Insurance Company Limited;DRN-4177079
Aviva Life & Pensions UK Limited;DRN-4177101
Bank of Scotland Plc;DRN-4177109
Bank of Scotland Plc;DRN-4177129
Wakam;DRN-4177181
The Equine and Livestock Insurance Company Limited;DRN-4177214
Secure Trust Bank Plc;DRN-4177234
Aioi Nissay Dowa Insurance UK Limited;DRN-4177250
Leeds Building Society;DRN-4177269
QIC Europe Ltd;DRN-4177276
Loans 2 Go Limited;DRN-4177288
Everyday Lending Limited;DRN-4177290
Vitality Health Limited;DRN-4177361
Santander UK Plc;DRN-4177435
Lendable Ltd;DRN-4177445
Clydesdale Bank Plc;DRN-4177474
HSBC UK Bank Plc;DRN-4177505
Bank of Scotland Plc;DRN-4177517
Lloyds Bank PLC;DRN-4177537
Aviva Insurance Limited;DRN-4177649
HSBC UK Bank Plc;DRN-4177686
Barclays Bank UK PLC;DRN-4177746
Barclays Bank UK PLC;DRN-4177750
Loans 2 Go Limited;DRN-4177764
National Westminster Bank Plc;DRN-4177789
Covea Insurance plc;DRN-4177790
National Savings and Investments;DRN-4177810
OneSavings Bank Plc;DRN-4177835
Mayfair Capital Limited;DRN-4177892
Epayments Systems Ltd;DRN-4177921
Arthur J. Gallagher Insurance Brokers Limited;DRN-4177937
London Community Credit Union Limited;DRN-4177957
Bank of Scotland Plc;DRN-4177960
Arthur J. Gallagher Insurance Brokers Limited;DRN-4177963
Fluro Platform Limited;DRN-4177970
PayPal (Europe) Sarl et Cie SCA;DRN-4177991
Fortegra Europe Insurance Company Ltd;DRN-4178061
Volkswagen Financial Services (UK) Limited;DRN-4178135
Close Brothers Limited;DRN-4178143
ReAssure Limited;DRN-4178151
The Co-operative Bank Plc;DRN-4178172
West Bromwich Building Society;DRN-4178174
The Prudential Assurance Company Limited;DRN-4178232
Markerstudy Insurance Company Limited;DRN-4178255
Target Servicing Limited;DRN-4178297
West Bay Insurance Plc;DRN-4178325
Zurich Insurance PLC;DRN-4178327
Lloyds Bank PLC;DRN-4178351
AJ Bell Securities Limited;DRN-4178414
esure Insurance Limited;DRN-4178513
NewDay Ltd;DRN-4178613
Nationwide Building Society;DRN-4178675
Bank of Scotland Plc;DRN-4178820
Society of Lloyd's;DRN-4178875
HSBC UK Bank Plc;DRN-4178888
QIC Europe Ltd;DRN-4178893
Covea Insurance plc;DRN-4178935
HSBC UK Bank Plc;DRN-4178942
Barclays Bank UK PLC;DRN-4178964
National Westminster Bank Plc;DRN-4179029
Metro Bank PLC;DRN-4179054
HSBC UK Bank Plc;DRN-4179068
Santander UK Plc;DRN-4179091
West Bay Insurance Plc;DRN-4179148
DAS Legal Expenses Insurance Company Limited;DRN-4179164
Clydesdale Bank Plc;DRN-4179186
Next Retail Limited;DRN-4179189
more 2 life Ltd;DRN-4179215
Punjab National Bank (International) Limited;DRN-4179288
DAS Legal Expenses Insurance Company Limited;DRN-4179299
Capital One (Europe) plc;DRN-4179328
American Express Services Europe Limited (AESEL);DRN-4179337
PayrNet Limited;DRN-4179356
The Governor and Company of the Bank of Ireland;DRN-4179361
Royal & Sun Alliance Insurance Limited;DRN-4179398
TRANSUNION INTERNATIONAL UK LIMITED;DRN-4179404
QIC Europe Ltd;DRN-4179425
Aviva Life & Pensions UK Limited;DRN-4179427
Mitsubishi HC Capital UK Plc;DRN-4179669
Yorkshire Building Society;DRN-4179678
Covea Insurance plc;DRN-4179710
Lloyds Bank PLC;DRN-4179729
Loans 2 Go Limited;DRN-4179741
TSB Bank plc;DRN-4179811
British Gas Insurance Limited;DRN-4179837
Equifax Limited;DRN-4179852
Great Lakes Insurance SE;DRN-4179932
PDL Finance Limited;DRN-4179949
HSBC Life (UK) Limited;DRN-4179952
Casualty & General Insurance Company (Europe) Ltd;DRN-4179964
One Call Insurance Services Limited;DRN-4179969
Sun Life Assurance Company of Canada (U.K.) Limited;DRN-4180012
Barclays Bank UK PLC;DRN-4180055
The Co-operative Bank Plc;DRN-4180064
Nationwide Building Society;DRN-4180099
Aspen Insurance UK Limited;DRN-4180110
Monzo Bank Ltd;DRN-4180151
TSB Bank plc;DRN-4180177
Options UK Personal Pensions LLP;DRN-4180180
TSB Bank plc;DRN-4180190
Specialist Motor Finance Limited;DRN-4180214
Barclays Bank UK PLC;DRN-4180221
Evergreen Finance London Limited;DRN-4180228
Shelby Finance Ltd;DRN-4180243
AWP P&C SA;DRN-4180289
Halifax Share Dealing Limited;DRN-4180349
Harvey & Thompson Limited;DRN-4180350
Great Lakes Insurance SE;DRN-4180365
Gresham Insurance Company Limited;DRN-4180406
Clydesdale Financial Services Limited;DRN-4180431
Madison CF UK Limited;DRN-4180480
Great Lakes Insurance SE;DRN-4180491
WPS ADVISORY Ltd;DRN-4180512
Countrywide Principal Services Limited;DRN-4180545
Barclays Bank UK PLC;DRN-4180585
Nationwide Building Society;DRN-4180602
Midland Credit Limited;DRN-4180612
National Westminster Bank Plc;DRN-4180665
John Lewis Financial Services Limited;DRN-4180709
TICORP Ltd;DRN-4180764
Assurant General Insurance Limited;DRN-4180873
Domestic & General Insurance Plc;DRN-4180960
more 2 life Ltd;DRN-4180972
