Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-4165853,Mr E,"Barclays Bank UK PLC, trading as Barclaycard",Banking,Barclaycard's refusal to process a refund for a transaction with a hire car company.,Car hire insurance,"Refund, insurance, car hire","Payment dispute, consumer rights, financial loss",,,Not upheld,Elspeth Wood,16 November 2023,Overpayment for car hire insurance,"He feels he has paid twice for basic insurance cover, which is unfair and unscrupulous.",A refund for the amount he paid for the car hire insurance.,"Mr E hired a car and paid for insurance at the rental desk, despite having a rental voucher that included insurance. He believes this was an overpayment and wants Barclaycard to refund the amount.",The Ombudsman found that it was reasonable for Barclaycard not to raise a chargeback as Mr E was aware of what he was paying for and verified the transaction using his PIN. Barclaycard also could not refund Mr E under section 75 of the Consumer Credit Act 1974 as there was no evidence of breach of contract or misrepresentation.
DRN-4166938,Mr A,Barclays Bank UK PLC,Banking,Delays in switching mortgage products and application of higher interest rate,Mortgage,"mortgage, interest rate, delay","mortgage product switch, incorrect information provided, financial loss",,,uphold,Ruth Stevenson,30 June 2023,"Incorrect information provided by Barclays when switching mortgage products, leading to delays and a higher interest rate.","Barclays sent a link with both fixed rate and offset products, despite the complainant not being eligible for offset products without advice. This led to confusion and a delay in securing a new mortgage product, resulting in a higher interest rate.",The complainant wanted Barclays to apply the most favourable interest rate available at the time he first tried to switch products.,"The complainant, Mr A, encountered issues when trying to switch mortgage products online with Barclays in June 2022. Barclays sent a link with available rates, including offset products that Mr A couldn't obtain without advice. Despite this, Mr A proceeded to meet with a mortgage adviser and chose a non-offset five-year fixed interest rate product. Barclays acknowledged the error and offered £150 compensation.","The Ombudsman considered the evidence and concluded that Barclays was at fault for sending a link that included offset products, causing confusion for Mr A. However, the Ombudsman also noted that Mr A chose to wait for an appointment with a mortgage adviser rather than selecting another available rate. The Ombudsman determined that Barclays' offer of £150 compensation was fair and reasonable under the circumstances."
DRN-4209629,Ms H,Barclays Bank UK PLC (Barclays),Finance,Inaccurate information provided by Barclays about how insurance claims would be dealt with as part of a Tech Pack.,"Tech Pack, that included mobile phone and gadget insurance cover","mis-sold, cancellation pop-up, insurance claim","incorrect information, misleading information, compensation",,August 2022,uphold in part,Thomas White,18 September 2023,Incorrect information provided by Barclays about how insurance claims would be dealt with as part of a Tech Pack.,"Ms H was misled into keeping the Tech Pack due to incorrect information in the cancellation pop-up, which led to her not receiving the level of service she expected when she made a claim.",Full refund of Tech Pack fees from April 2021.,"Ms H had a Tech Pack with Barclays that included mobile phone and gadget insurance cover. In August 2022, she went to cancel her Pack but was misled by a pop-up that said her phone would be replaced within 24 hours if she made a claim. She kept the Pack based on this information, but when she made a claim, it took several days for a replacement phone to be sent to her. She complained to Barclays and requested a full refund from April 2021.","The Ombudsman found that the cancellation pop-up contained incorrect information and that Ms H relied on this information when she decided to keep the Tech Pack. However, the Ombudsman did not think that Barclays needed to refund the Tech Pack fees from April 2021 or August 2022 as Barclays had provided evidence that it had informed Ms H about the changes being made to the Pack. The Ombudsman did think that Barclays should pay Ms H £50 for the distress and inconvenience she experienced when making a claim."
DRN-4210721,Mr M,Barclays Bank UK PLC trading as Barclaycard,Financial services,Barclaycard declined to uphold his claim under Section 75 of the Consumer Credit Act 1974 (Section 75) for misrepresentation in relation to an item he purchased using his credit card.,Credit card,"Section 75, misrepresentation, credit card","Consumer rights, financial services, contract law",,May 2022,opposite,Joyce Gordon,24 July 2023,Misrepresentation in relation to an item purchased using a credit card,Mr M believed that there was a misrepresentation for which the third party seller (T) was responsible and that Barclaycard should uphold his claim under Section 75 of the Consumer Credit Act 1974 (Section 75) based on the facts of his case.,Mr M wanted Barclaycard to uphold his claim under Section 75 and refund him the difference between what he paid for the item and what he thinks it was worth.,"Mr M used his Barclaycard credit card to buy an item at an auction. He claims that the item was misrepresented in the auction brochure and that he would have bid less for it if he had known the correct weight. He contacted the seller (T) for a refund, but T offered him a full refund only if he returned the item. Mr M declined this offer and turned to Barclaycard to put things right, relying on Section 75 of the Consumer Credit Act 1974. Barclaycard declined to uphold his claim on the basis that there was no valid debtor-creditor-supplier agreement in place.","The Ombudsman found that there was no valid debtor-creditor-supplier agreement in place between Mr M and Barclaycard for the purposes of Section 75. The contract for the sale of the item was between Mr M and the vendor, not T. Therefore, Barclaycard had no liability to Mr M under Section 75. The Ombudsman also found that even if there was a valid debtor-creditor-supplier agreement, Mr M had not demonstrated that there was a misrepresentation. Even if inaccurate information had been supplied about the item, the seller's terms and conditions stated that the vendor was responsible for this."
DRN-4221596,Mrs O,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC closed her accounts without notice and retained her money.,Bank accounts,"account closure, access to funds, disputed withdrawal","Banking services, Account management, Financial loss",,,opposite,Amanda Williams,1 November 2023,Closure of bank accounts and subsequent inability to access funds.,Barclays closed her accounts without sufficient notice and she was unable to access her funds.,Access to her funds and compensation for the inconvenience caused.,"Barclays closed Mrs. O's accounts and she was unable to access her funds. Barclays claimed that she had withdrawn the funds, but she disputed this. She also incurred legal fees in trying to resolve the issue.",The Ombudsman found that Barclays was entitled to close Mrs. O's accounts but acknowledged that the bank could have foreseen that she may not have been able to visit the UK during the notice period due to COVID-19 travel restrictions. The Ombudsman considered the £300 offered by Barclays to be fair and reasonable compensation for the inconvenience caused.
DRN-4225060,Mr L,Barclays Bank PLC,Banking,Barclays Bank PLC unfairly closed his bank account and he wants them to reopen it sometime in the future.,Bank account,"Account closure, Financial abuse, Unfair treatment","Account closure, Customer service, Financial vulnerability",,December 2022,Do not uphold,Sharon Kerrison,6 November 2023,Closure of bank account and refusal to reopen it,"He believes the bank should not have closed his account without a valid reason and should consider his circumstances, including being a victim of financial abuse.",Reopen his account sometime in the future and provide an explanation for the closure.,Mr. L's account was closed by Barclays due to concerns about potential fraud. He applied for a new account which was also closed. He complained to the FOS stating that he was a victim of financial abuse and that the bank should reconsider their decision.,"The Ombudsman considered the bank's actions and the information provided, including Mr. L's circumstances. They concluded that Barclays acted legitimately and fairly in closing the account and were not obliged to provide reasons for not wanting him as a customer. The Ombudsman also explained that banks are entitled to decide who they want as customers and that the FOS will not usually say that a bank must keep a customer unless there is a good reason to do so."
DRN-4233579,Mr W,Barclays Bank UK PLC (Barclays),Banking,ATM cash withdrawal not dispensed but debited from account,ATM cash withdrawal,"ATM withdrawal, cash not dispensed, debit","ATM malfunction, investigation, liability",276.1,November 2022,uphold,Neil Bridge,19 December 2023,ATM withdrawal not dispensed but debited from account,Barclays held him liable for an ATM cash withdrawal he says wasn't dispensed,Refund of the debited amount and an apology,"Mr. W made an ATM cash withdrawal in November 2022, but the cash wasn't dispensed. Despite his claims, Barclays held him liable for the withdrawal. Our investigator recommended upholding the complaint, but Barclays didn't accept it, leading to this decision.","Barclays didn't obtain relevant information from the ATM operator to fairly assess Mr. W's claim. The technical information provided by Barclays doesn't sufficiently support their position. Therefore, the complaint is upheld, and Barclays is directed to pay Mr. W the debited amount with interest."
DRN-4240136,F,Barclays Bank UK Plc,Banking,Barclays Bank UK Plc closed their accounts without notice and provided poor customer service.,Business bank account,"Account closure, poor communication, inconvenience","Account closure, customer service, compensation",,,opposite,Jenny Lomax,23 November 2023,"Closure of business bank accounts without notice or reason, and poor customer service.","The complainant felt that the accounts had been closed without notice or reason, which was unfair. They also complained about the poor customer service they had received from Barclays.","The complainant wanted Barclays to provide a reason for closing their accounts, and to compensate them for the inconvenience caused.","Barclays closed F's accounts without giving them a clear reason. F complained to the Financial Ombudsman Service, arguing that Barclays had acted unfairly and without giving them a chance to resolve the issue. Barclays argued that they had given F notice of the account closure and that they were entitled to close the accounts as per the terms and conditions.",The Ombudsman found that Barclays had given F sufficient notice of the account closure and that they were not obliged to disclose the reason for closing the accounts. The Ombudsman also found that Barclays had offered F a fair amount of compensation for the inconvenience caused.
DRN-4249437,Mr M,Barclays Bank UK PLC,Financial services,The service he received from Barclays Bank UK PLC about his credit card.,Credit card,"Disability discrimination, confusing communication, unclear process","Communication with vulnerable customers, credit card application process, Equality Act 2010",,,uphold,Nicola Bowes,19 August 2023,Barclays' decision to cancel Mr. M's credit card and the way they communicated with him about it.,He felt that Barclays discriminated against him because of his disability and that they did not communicate with him clearly or fairly.,"He wanted Barclays to apologize, pay him compensation, and change their policies to be more accessible to people with disabilities.","Mr. M, who is autistic and has ADHD, applied for a basic credit card with Barclays. He received a credit card with a £50 credit limit, but his card was later stopped because he had not provided Barclays with information about his finances. Mr. M claims that he had already provided this information when he linked his card to his Barclays bank account, and that Barclays should have been able to see that he was receiving state benefits. He also alleges that Barclays did not communicate with him clearly about the need to provide this information, and that they treated him badly when he called to inquire about the issue.","The Ombudsman found that Barclays did not make it clear to Mr. M that the £50 credit limit was temporary and that he needed to provide proof of income to increase it. The Ombudsman also found that Barclays did not take steps to identify and accommodate Mr. M's additional needs as a neurodiverse customer, which contributed to the confusion and distress he experienced. The Ombudsman concluded that Barclays' actions were not fair or reasonable and that Mr. M had suffered loss as a result."
DRN-4255862,M,Barclays Bank UK Plc,Banking,"Barclays Bank UK Plc behaved unreasonably when completing its banking checks, leading to the closure of the company's business account and subsequent inconvenience and financial losses.",Business bank account,"Banking checks, account closure, financial losses","KYC compliance, communication between bank and customer, impact of account closure on business operations",,,not uphold,Jenny Lomax,18 December 2023,Unreasonable account closure and resulting inconvenience and financial losses,Barclays' failure to properly consider the information provided and lack of direct communication before account closure,"An apology, compensation for inconvenience and losses, and reinstatement of the closed account","Barclays requested KYC information from M, the complainant company, which was provided in July 2022. Despite subsequent reminders and requests for additional information, M claims to have already provided the necessary details. In January 2023, M's account was closed without prior notice, causing difficulties in receiving funds, paying bills, and accessing bank statements. Barclays offered to reinstate the account but M had already moved their business elsewhere.","The Ombudsman considered the evidence and determined that Barclays had made reasonable efforts to obtain the required information from M over a six-month period. While M believed they had provided the necessary information, the Ombudsman found that Barclays' actions were in line with the account terms and conditions, which allowed for account closure after two months' notice or immediately if the bank faced legal or regulatory obligations. The Ombudsman acknowledged the inconvenience and financial impact on M but concluded that compensation was not warranted as the account closure was justified due to M's failure to provide the requested information."
DRN-4266944,Miss B,Barclays Bank UK Plc,Banking,Barclays Bank UK Plc unreasonably declined to refund transactions that she sent to an alleged fraudster.,Faster payments,"fraud, refund, online scam","unauthorized transactions, liability of banks, customer vulnerability",460,October 2018,do not uphold,Thom Bennett,19 September 2023,refusal of a refund for payments made to an alleged fraudster,vulnerability and being taken advantage of,refund of the disputed transactions,"Miss B made two faster payments totaling £460 to an alleged fraudster she met online. Barclays declined to refund the payments, stating that the transactions were not significantly out of character and that Miss B had missed the chance to recover funds by not discussing the payments with the bank at the time.",The Ombudsman found that Barclays was not liable for refunding the transactions as they were not disputed and were not significantly out of character for Miss B's account. The Ombudsman also noted that Miss B missed the opportunity to recover funds by not discussing the payments with Barclays at the time.
DRN-4268653,Mr C,Barclays Bank UK PLC trading as Barclaycard,Banking,"Misinformation about a transaction and its consequences, leading to financial loss and inconvenience.",Credit card,"Misinformation, transaction fee, refund","Customer service, communication, financial loss",480,23 December 2022,Dont uphold,Sarita Taylor,28 August 2023,"Incorrect information provided by Barclaycard regarding a refund transaction, resulting in unexpected charges and financial implications for the complainant.","Barclaycard's failure to clearly explain the consequences of making a payment, leading to a debit on his credit card and subsequent financial difficulties.","Compensation for the inconvenience and financial loss caused by the misinformation, including a waiver of the disputed amount and refund of the transaction fee.","Mr. C received a refund of £480 on his credit card from a third party. He contacted Barclaycard to inquire about transferring the refund to his current account and was informed that a transaction fee of £14.88 would be charged. Despite his request for a waiver due to his long-standing customer status, Barclaycard declined. Mr. C completed the transaction, but the refund amount debited his credit card due to an outstanding balance. He disputed the debit, arguing that Barclaycard should have explained the consequences clearly. Barclaycard offered a partial refund of the transaction fee, compensation, and a waiver of interest, but Mr. C rejected the offer and escalated the matter as a complaint.","The Ombudsman acknowledged that Barclaycard should have provided clearer information about the refund process. However, they determined that the bank's subsequent actions, including a refund of the transaction fee, interest waiver, and compensation, were fair and reasonable under the circumstances. The Ombudsman considered that Mr. C had the benefit of the disputed amount when he spent it and that the actual loss was limited to the interest payable on the disputed amount, which was addressed by Barclaycard's offer. Therefore, the complaint was not upheld."
DRN-4274176,Mr G,Barclays Bank UK PLC trading as Barclaycard,Banking,Unable to log in to his Barclaycard account online and lack of response to his emails.,Barclaycard,"Online banking, IT issues, Lack of communication","Online access issues, Inadequate response to emails, Compensation for inconvenience",,July 2022,Do not uphold,Gregory Sloanes,15 December 2023,Online banking and email communication issues with Barclaycard.,Frustration over the ongoing issue of not being able to access his Barclaycard account online and the lack of response from Barclaycard to his emails.,Resolution of the online access issue and compensation for the inconvenience faced.,"Mr. G complained about Barclaycard's failure to resolve an issue preventing him from logging in to his Barclaycard account online. Despite his attempts to contact them, including multiple emails, he received no response. Barclaycard partially upheld his complaint and offered £100 compensation, acknowledging the lack of acknowledgment and response to his emails. However, the issue remained unresolved.","The Ombudsman acknowledged Mr. G's frustration but explained that the Financial Ombudsman Service cannot mandate system changes or dictate how IT issues should be resolved. While Barclaycard had not responded to Mr. G's recent emails, they had previously informed him that further correspondence may not receive a response as the matter was being handled by their IT team. Therefore, the Ombudsman did not find it proportionate to award additional compensation for the lack of response to emails."
DRN-4277132,Mr K,Barclays Bank UK Plc,Banking,Barclays Bank UK Plc's refusal to refund money lost to an investment scam.,Investment with a company referred to as 'O',"Investment scam, Regulation, Due diligence","Investment risk, Regulatory oversight, Financial loss",100000,,Do not uphold,Dolores Njemanze,15 September 2023,Investment scam and the bank's alleged failure to prevent it.,The complainant believed that Barclays should have detected and prevented the scam based on warnings about the investment company.,A refund of the money lost in the investment.,"Mr. K invested over £100,000 with a company called 'O' between December 2017 and December 2019. He made payments from his Barclays current account and received just under £11,000 back. Towards the end of 2019, he tried to withdraw his profits but faced difficulties and ultimately felt he had been scammed. He reported the incident to Barclays in 2022, but they declined to issue a refund as 'O' was regulated during the investment period.","The Ombudsman considered the available evidence and concluded that, while there were warnings about 'O' published in 2013, they did not indicate that the company was operating as a scam. At the time of Mr. K's payments, 'O' was regulated by the Cyprus Securities and Exchange Commission (CySEC) with passporting rights through the FCA, allowing them to offer services to UK customers. The Ombudsman agreed with the investigator's assessment that even if Barclays had intervened, it would not have reasonably suspected a fraud or scam based on the information available at the time. The Ombudsman also noted that the payments were made via debit card, and the maximum time limit for dispute claims with Visa had passed by the time Mr. K contacted Barclays in 2022."
DRN-4281516,Mr J,Barclays Bank UK PLC,Banking,Irresponsible lending,Loan,"Irresponsible lending, affordability, credit checks","Loan assessment, income verification, affordability assessment",,,Dont uphold,Richard Hale,6 November 2023,"Barclays lent Mr J a loan of £24,000 over 10 years, which he claims was irresponsible lending as he was not properly assessed for affordability.",Mr J felt that Barclays should have done more to verify his income and expenditure before agreeing to the loan.,Mr J wanted Barclays to acknowledge that they were responsible for irresponsible lending and provide him with compensation.,"Mr J took out a loan of £24,000 from Barclays in 2016. He later complained that the loan was irresponsible lending as he was not properly assessed for affordability. Barclays rejected his complaint, but Mr J referred it to the Financial Ombudsman Service.","The Ombudsman found that Barclays did not carry out reasonable and proportionate checks to satisfy itself that Mr J would be able to repay the loan sustainably. However, he also found that if Barclays had taken a closer look at Mr J's bank statements, it would not have reached a different decision. He therefore decided not to uphold the complaint."
DRN-4307249,S,Barclays Bank UK PLC,Banking,Barclays' handling of a direct debit transfer and their request for a signature update.,Bounce Back Loan (BBL),"Direct debit, signature, compensation","Transfer of direct debit, Signature update requirement, Handling of complaint",,March 2021,uphold,Paul Cooper,14 September 2023,"Transfer of direct debit for Bounce Back Loan (BBL) payments, request for signature update, and handling of complaint.","Barclays' failure to transfer the direct debit for BBL payments, their insistence on a signature update, and their handling of the complaint.","Compensation for inconvenience caused, an apology, and a resolution to the direct debit issue.","Barclays failed to transfer a direct debit for the complainant's Bounce Back Loan (BBL) payments to a new account, leading to missed payments and late fees. Barclays also requested a signature update from the complainant, which he disputed. The complainant felt that Barclays was being obstructive and unnecessarily difficult.","The Ombudsman found that Barclays was at fault for not transferring the direct debit as requested and agreed to increase the compensation offered to £200. However, the Ombudsman also found that Barclays' request for a signature update was reasonable and that the complainant could have mitigated the inconvenience by completing the form. The Ombudsman upheld the complaint but only required Barclays to pay the £200 compensation that they had already agreed to."
DRN-4317805,Mr M,Barclays Bank UK PLC,Banking,Reduction in credit limits on his credit cards,Credit cards,"Credit limit, reduction, communication","Credit limit reduction, communication of changes, affordability assessment",,,Do not uphold,Danielle Padden,21 September 2023,Reduction in credit limits on his credit cards,Financial hardship caused by the reduction in credit limits,Reinstatement or increase in credit limits,"Barclays Bank reduced Mr. M's credit limits without prior notice, causing financial difficulties for Mr. M. Barclays stated that the reduction was in line with the terms and conditions of the accounts and that they had followed the correct process in notifying Mr. M. An affordability assessment conducted by Barclays' manual underwriting team also determined that an increase in the credit limits was not feasible at that time.","The Ombudsman acknowledged Mr. M's frustrations but concluded that Barclays had acted in accordance with the terms and conditions of the accounts and had taken reasonable steps to assess the possibility of reinstating the credit limits. Therefore, the Ombudsman could not ask Barclays to take any further action."
DRN-4318455,Mr D,Barclays Bank UK Plc,Banking,Barclays Bank UK Plc didn't do enough to protect him from an investment scam or help him recover the money after he reported the scam.,Online banking,"Investment scam, Fraud, Payment protection","APP scam, CRM code, Payment authorisation",8115.68,17 June 2022,Don't uphold,Carolyn Bonnell,12 October 2023,Investment scam,Barclays failed to provide effective warnings and didn't ask probing questions to prevent the scam.,Reimbursement of the lost money and an apology from Barclays.,"Mr. D was scammed into making a payment of £8,115.68 to an investment scam company while trying to book a holiday. He contacted Barclays to report the scam, but the bank did not take any action to stop the payment or help him recover the money.","The Ombudsman found that the payment was not particularly unusual or suspicious compared to Mr. D's normal account activity and that Barclays was not liable for the payment under the CRM code as it does not apply to payments to an account in the same name. Therefore, the complaint was not upheld."
DRN-4318756,Mr C,Barclays Bank UK PLC (Barclays),Banking,Barclays' refusal to reimburse him for money he lost to a scam.,Payment through Barclays account,"APP scam, CRM Code, Civil dispute","Reimbursement, Liability, Due diligence",15000,Between 13 December 2021 and 3 February 2022,Do not uphold,Kathryn Milne,22 September 2023,Unauthorised payment,He believes he was the victim of a scam and that Barclays should refund him under the Contingent Reimbursement Model (CRM) Code.,Refund of the money he lost.,"Mr. C made three payments totaling £15,000 from his Barclays account to a builder named P. He believed he was settling an invoice for home renovation work. In June 2022, he realized he had been scammed and reported it to Barclays. Barclays declined to refund the money, stating that it considered the matter a civil dispute between Mr. C and P.",The Ombudsman concluded that the payments made by Mr. C were not covered under the CRM Code and that Barclays was not required to refund the money. The Ombudsman found that it was more likely that the builder was attempting to operate as a legitimate business at the time and that other factors ultimately meant the building work wasn't completed. The Ombudsman did not find evidence to support Mr. C's claim that he was the victim of a scam.
DRN-4335086,Mrs S,Barclays Bank UK Plc,Banking,A benefit payment was paid into a Barclays Bank UK Plc account she can no longer access and she would like the payment returned to her.,Joint bank account,"Payment, account, Barclays","Missing payment, access to account, complaint handling",,March 2023,Do not uphold,Kristina Mathews,29 December 2023,Missing payment,She wants the missing payment to be returned to her.,The missing payment to be returned to her.,Mrs S complained that a benefit payment was paid into a Barclays account she can no longer access and she would like the payment returned to her. Barclays said no error had been made and that the account in question had been closed in 2016. The Ombudsman found that Barclays had done enough to try and find the payment in question for Mrs S with the information they had.,The Ombudsman considered all the available evidence and arguments and found that Barclays had not done anything wrong in relation to the payment that Mrs S is trying to find. The Ombudsman noted that Barclays had reasonably searched for the payment with the information they had and that there was no evidence that the payment was made into an account with Barclays.
DRN-4339114,Mr and Mrs P,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC did not close their account down and charged them further interest.,Bank account,"account closure, interest charges, inconvenience","account management, customer service, financial loss",,,do not uphold,Gregory Sloanes,8 November 2023,"incorrect information provided by bank staff, failure to close account as requested, additional interest charges",The compensation paid by Barclays was not enough for the impact of what happened on them.,Additional compensation for distress and inconvenience caused.,"Mr and Mrs P paid off their overdrawn balance and requested their account to be closed. However, the account was not closed due to pending interest charges. The interest charge was debited from their account the following month, resulting in the account being overdrawn again. Barclays upheld their complaint and provided £50 compensation and removed the £4.05 interest charge. Mr and Mrs P felt the compensation was insufficient and brought their complaint to the ombudsman service.","The ombudsman acknowledged that the Barclays staff member's error caused Mr and Mrs P distress and inconvenience. However, the £50 compensation paid by Barclays was considered fair and in line with the ombudsman's awards for such cases. The ombudsman also noted that Barclays refunded the last interest charge even though it was charged correctly. Therefore, the ombudsman did not require Barclays to take any further action."
DRN-4339815,Ms N,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC didn't do enough to protect her from a financial harm caused by an investment scam company or to help her recover the money once she'd reported the scam to it.,Investment scam,"Investment scam, cryptocurrency, payments","Investment scam, prevention, recovery of funds",3975,,Dont uphold,Carolyn Bonnell,24 November 2023,Investment scam,Barclays failed to prevent the scam by foreseeing the fraud and conducting a proper investigation.,Ms N has asked for her complaint to be reviewed by an Ombudsman.,"Ms N saw an advertisement for an investment for a company referred to as B. She joined a telegram group and was contacted by someone claiming to be a broker who told her she could make significant returns by investing in cryptocurrency. She made seven payments totalling £3,975 using a debit card attached to her Barclays account. The payments were made to a cryptocurrency exchange platform and a payment platform. Ms N realised she'd been scammed when she didn't receive any returns from her investment, and she lost contacted with the broker. She complained to the service explaining how the scam had affected her and that Barclays had failed to prevent the scam by foreseeing the fraud and conducting a proper investigation.",The Ombudsman considered all the available evidence and arguments and reached the same conclusion as the investigator. The payments didn't flag as suspicious on Barclays systems and were to legitimate accounts. The Ombudsman was satisfied that Barclays took the correct steps prior to the funds being released as well as the steps it took after being notified of the potential fraud.
DRN-4370331,Mrs C,Barclays Bank UK PLC (Barclays),Banking,Barclays did not remove the Tech and Travel Packs from her account when she told them she was moving abroad and asked for all automated payments to be cancelled.,Tech and Travel Packs,"Automated payments, Moving abroad, Account fees","Communication between customer and bank, Cancellation of services, Understanding of customer's needs",952,5 July 2020,uphold,Thomas White,24 November 2023,Automated payments not cancelled as requested when customer moved abroad,Unwanted charges for Tech and Travel Packs after moving abroad,"Refund of Tech and Travel Pack fees, interest on the refunded amount","The complainant, Mrs. C, moved abroad and asked Barclays to cancel all regular payments from her account. However, Barclays did not cancel the Tech and Travel Pack fees, which continued to be deducted from her account. Despite her attempts to resolve the issue with Barclays, the fees were not canceled until July 2023.","The Ombudsman found that it was likely that Mrs. C had asked Barclays to cancel all regular payments, including the Tech and Travel Pack fees, when she moved abroad. Barclays should have confirmed with Mrs. C whether she wanted to continue paying these fees, but failed to do so. Therefore, the Ombudsman upheld the complaint and required Barclays to refund the Tech and Travel Pack fees charged from August 2020 until they were removed, plus interest."
DRN-4425405,Mrs B,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC closed her bank account and didn't release her funds.,Current account,"Account closure, funds release, delay","Account closure, funds release delay, compensation",,,uphold,Jeff Burch,4 January 2024,Closure of bank account and delay in releasing funds,Barclays Bank UK PLC closed her bank account and didn't release her funds.,"The funds returned, interest for the lack of access and compensation.","Barclays Bank UK PLC closed Mrs B's account in September 2022 because her address was outside of the United Kingdom. They failed to release her funds promptly, despite her repeated requests. Mrs B complained to the Financial Ombudsman Service.","The Ombudsman found that Barclays Bank UK PLC was entitled to close Mrs B's account, but that they should have released her funds when the account was closed. The Ombudsman also found that Barclays Bank UK PLC caused Mrs B to lose access to her funds for a period of time and that she should be compensated for the inconvenience caused."
DRN-4444463,Miss M,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC is withholding her money.,ISA and current account,"withholding money, proof of funds, unfair treatment","access to funds, delay in resolving the issue, lack of communication",,January 2023,uphold,Simon Louth,4 January 2024,"Barclays Bank UK PLC withholding Miss M's money after she received two large credits of £10,000 each to her ISA.",Barclays blocked access to the money and then requested information around the source of the money without providing any further updates or resolving the issue.,"Miss M wants her money returned, 8% simple interest on the amount, and £200 for the distress and inconvenience caused.","Miss M received two large credits of £10,000 each to her ISA from her parents. Barclays blocked access to the money and requested proof of funds. Miss M responded with the requested information, but Barclays did not provide any further updates or resolve the issue. Despite multiple attempts by the Financial Ombudsman Service to contact Barclays and resolve the matter informally, Barclays failed to provide a valid explanation or supporting evidence for its actions.","The Ombudsman found that Barclays had not provided any valid explanation or supporting evidence for its actions in continuing to hold Miss M's money. The Ombudsman considered that Barclays had not acted fairly and that Miss M had been caused inconvenience and distress as a result. Therefore, the Ombudsman upheld Miss M's complaint and required Barclays to return the money, pay 8% simple interest on the amount, and pay Miss M £200 compensation."
DRN-4445663,Mr Y,Barclays Bank UK PLC,Banking,Poor service and racial discrimination experienced at a Barclays branch when trying to print bank statements.,Online banking services,"Discrimination, Service failure, Banking","Racial discrimination, Branch service issues, Alternative banking options",,February 2023,Opposite,Ray Lawley,8 January 2024,The complainant was unable to print statements at the online banking point in the branch due to a lack of paper and had to wait for an extended period to speak to the manager.,The complainant felt that he was treated unfairly due to racial discrimination and that Barclays did not handle his complaint appropriately.,"An apology, compensation for the inconvenience faced, and assurance that steps will be taken to prevent similar issues in the future.","The complainant visited a Barclays branch to print statements but couldn't due to a technical issue with the online banking point. He waited to speak to the manager but left after 10 minutes. Barclays acknowledged the issue but didn't offer compensation, stating alternative options like online banking. The complainant alleged racial discrimination, which Barclays investigated but found no evidence to support.",The Ombudsman considered the evidence and found that Barclays provided alternative options for obtaining statements and that the waiting time to speak to the manager was reasonable. The Ombudsman did not find evidence to support the racial discrimination claim and concluded that Barclays had dealt with the complaint fairly.
DRN-4457400,"G, a charity",Barclays Bank UK PLC,Banking,Delay in removing a signatory from the account,Bank account,"Signatory removal, Delay, Inconvenience","Account management, Customer service, Financial loss",,1 February 2023,uphold,Tara Richardson,10 January 2024,Delay in removing a signatory from the account,Distress and inconvenience caused by the delay,Full investigation into the complaint and fair compensation for the inconvenience,"Barclays gave incorrect information about the process to remove a signatory from the account, leading to delays. The signatory was finally removed on 1 April 2023.","The Ombudsman acknowledged the inconvenience caused to the charity due to Barclays' error, but since there was no financial loss, the offered compensation of £350 was deemed fair and in line with similar cases."
DRN-4481133,Mr and Mrs B,Barclays Bank Plc,Banking,Arrears letters received despite believing their account was up to date,Mortgage and related mortgage current account (MCA),"Arrears letters, Mortgage payments, Communication","Payment arrears, Communication between bank and customer, Mortgage account management",,,uphold,Arazu Eid,4 January 2024,Barclays sending them arrears letters despite their belief that their account was up to date,They don't agree that they are in arrears and they've never missed a payment. They find the repeated letters distressing and question why they've only started receiving such letters now.,They want Barclays to stop sending them arrears letters and to waive any arrears charges.,"Mr and Mrs B have a mortgage with Barclays. They received letters from Barclays stating that their mortgage account was in arrears. They disputed this, saying that they had never missed a payment. Barclays said that Mr and Mrs B had missed a payment in April 2016, which had caused the account to fall into arrears. Mr and Mrs B said that they had been told by Barclays that they could continue to make their payments on the 1st of each month and that they would not be impacted. Barclays denied that any such conversation had taken place.","The Ombudsman found that Mr and Mrs B had indeed missed a payment in April 2016, which had caused the account to fall into arrears. However, the Ombudsman also found that Barclays had not acted unfairly in sending the arrears letters, as it was entitled to seek payment of any arrears. The Ombudsman did find that Barclays had been at fault in not transferring a payment of £5.03 that Mr and Mrs B had made to their MCA, and directed Barclays to do so."
