Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-4159113,J,Lloyds Bank PLC,Banking,Poor service in relation to business account,Business bank account,"account closure, lack of communication, inconvenience","account closure, compensation, inconvenience",,,uphold,Jade Rowe,19 July 2023,Lloyds Bank PLC's handling of the closure of J's business bank account,"The inconvenience caused by the account closure, including the cancellation of a direct debit, inability of clients to pay for services, and decline of J's card at local merchants",Fair compensation for the inconvenience caused,"Lloyds Bank PLC closed J's business bank account without providing any evidence that it had asked J to provide the required information or that it had provided J with the required notice of closure. Lloyds Bank PLC offered J £200 in compensation, but J rejected the offer.","The Ombudsman agreed with the investigator's findings that Lloyds Bank PLC's offer of £200 was not fair and reasonable, considering the impact the account closure had on J. The Ombudsman recommended that Lloyds Bank PLC pay a further £300, bringing the total amount to £500."
DRN-4168536,Mrs A,Lloyds Bank PLC,Financial services,Failure of intended property purchase due to conveyancing issues,Mortgage and conveyancing services,"Conveyancing, Mortgage, Property purchase","Deficient conveyancing services, Liability for third-party actions, Misrepresentation of services",,,I dont uphold this complaint.,Esther Absalom-Gough,1 January 2024,Conveyancing services provided by Lloyds Bank PLC's conveyancers,Lloyds Bank PLC should accept responsibility for the failure of her property purchase due to the conveyancers' actions,Compensation for the distress and financial losses incurred due to the failed property purchase,"Mrs. A obtained a mortgage offer from Lloyds Bank PLC and was persuaded to use their conveyancing services. However, the conveyancers' delays and mishandling of the property purchase caused it to fall through. Mrs. A holds Lloyds responsible for the conveyancers' actions and the resulting negative impact on her health and finances.","The Ombudsman considered the evidence and concluded that Lloyds Bank PLC is not responsible for the actions or omissions of the conveyancing firm as they are a separate and independent third party. While Lloyds may have introduced Mrs. A to the conveyancing firm, there was no obligation for her to use their services. The documentation provided clearly states the independent nature of the conveyancers. Although Lloyds has taken steps to assist Mrs. A and forward her complaint to the conveyancing firm, the Ombudsman does not find it fair and reasonable to hold Lloyds liable for the conveyancers' actions."
DRN-4171864,Ms P,Lloyds Bank PLC,Banking,"Lockout of account for over six weeks due to fraud alerts not being removed promptly, impacting her financially as she is self-employed.",Bank account,"Fraud alerts, account lockout, financial impact","Fraud prevention measures, customer service, compensation",,18 September 2022,uphold,Sandra Greene,10 July 2023,Lockout of account due to fraud alerts,Financial impact and inconvenience caused by the lockout,Increased compensation and assurance of improved business operations,"Ms. P's account was locked due to fraud alerts, which were not removed promptly despite her efforts to resolve the issue. This resulted in financial difficulties for Ms. P, who is self-employed.","While the Ombudsman acknowledges Ms. P's frustration and inconvenience, they find that £350 is fair compensation for the distress and inconvenience caused. The Ombudsman considers the impact of the errors on Ms. P, including the potential impact on her credit rating and ability to make payments, but finds that there is insufficient evidence to conclude that these were significant."
DRN-4190349,Mr D,Lloyds Bank PLC,Banking,Incorrect deposit of cash into his account at a branch,Cash deposit machine,"Deposit machine, Incorrect deposit, Missing money","Banking services, Customer service, Financial loss",310.0,30 December,Not upholding,Nicolas Atkinson,13 September 2023,Incorrect deposit of cash into his account at a branch of Lloyds Bank PLC,He believed that some of the money he deposited was missing and that the bank had not adequately addressed his concerns.,He wanted the bank to return the money that he believed was missing and to provide an explanation for the discrepancy.,"Mr. D made three cash deposits at a Lloyds Bank branch, but encountered an issue with the third deposit. He claims that the machine malfunctioned and he did not receive all of the money he deposited. He raised his concerns with the bank, but they maintained that no excess money was found at the end of the day and that the correct procedures were followed. Mr. D remained dissatisfied with the bank's response and brought his complaint to the Financial Ombudsman Service.","The Ombudsman considered the evidence provided by Mr. D and Lloyds Bank and concluded that it was more likely than not that all the money Mr. D deposited ended up in his account. The Ombudsman acknowledged that there was a problem with the deposit machine, but found that the bank followed the appropriate procedures. The Ombudsman also explained that banks are not required to share their internal procedures with customers, especially when they relate to security. Therefore, the Ombudsman decided not to uphold the complaint."
DRN-4193397,Mrs K,Lloyds Bank PLC,Banking,Refund of losses due to an Authorised Push Payment (APP) scam,Loan,"APP scam, reasonable basis of belief, Contingent Reimbursement Model (CRM) code","Payment fraud, liability for fraudulent payments, bank's duty of care",18000.0,,opposite,Sophia Smith,8 September 2023,Unauthorised payment,Lloyds Bank PLC only refunded 50% of her losses after she was a victim of an Authorised Push Payment (APP) scam.,Full refund of the losses,"Mrs. K obtained a £20,000 loan from Lloyds and transferred £18,000 to an individual (H) who she believed was helping her set up her own business. She made two payments of £10,000 and £8,000 to H, but later realized it was a scam. Lloyds refunded 50% of her losses, but she claimed she was a victim of an APP scam and demanded a full refund.","The Ombudsman concluded that Mrs. K did not have a reasonable basis to believe that the payments were for genuine goods or services, and that she did not take steps to verify the credentials of the individual she was dealing with. Therefore, Lloyds was entitled to rely on the exception not to refund Mrs. K in full, and the 50% refund she received was fair."
DRN-4206223,Mrs S,Lloyds Bank PLC,Banking,Unfair closure of bank and credit card accounts without adequate reasons,Bank account and credit card account,"Account closure, Inadequate reasons, Unfair treatment","Account closure, Communication, Compensation",,July 2022,Not upheld,Nimish Patel,2 August 2023,Closure of bank and credit card accounts,"Inadequate reasons provided by Lloyds, poor communication","Reinstatement of accounts, compensation",Lloyds Bank PLC closed Mrs S's bank and credit card accounts without providing adequate reasons. Mrs S complained to the Financial Ombudsman Service after being dissatisfied with Lloyds' response.,The Ombudsman considered the account terms and conditions and found that Lloyds had acted fairly in closing the accounts. The Ombudsman also noted that banks are not required to provide a reason for closing an account as long as they do so in accordance with their terms and conditions.
DRN-4206833,Mr J,Lloyds Bank PLC,Banking,Irresponsible lending,Credit card,"Irresponsible lending, affordability, credit checks","Lending practices, affordability assessments, creditworthiness",,,uphold,Emma Davy,27 July 2023,Lloyds Bank PLC lent to him irresponsibly.,He was self-employed with very little income and used the credit card for gambling transactions.,Compensation for the impact that the irresponsible lending had on him.,"Mr J opened a credit card account with Lloyds in June 2009 with an initial credit limit of £2000. The credit limit was increased several times over the years, reaching £5500 in October 2014. Mr J complained that Lloyds had lent to him irresponsibly, as he was self-employed with very little income and used the credit card for gambling transactions. Lloyds did not investigate the complaint within the relevant time limits, but the Financial Ombudsman Service decided to look into it.",The Ombudsman found that Lloyds failed to carry out reasonable and proportionate checks before increasing the credit limit in June 2011 and subsequent increases. Mr J's bank statements showed that he had a serious gambling problem and was overly reliant on credit. The Ombudsman concluded that the lending decisions were unfair and upheld the complaint.
DRN-4208523,Mr H,Lloyds Bank PLC,Banking,Unauthorised payments and failure to prevent fraud,Payment services,"scam, payments, authorisation","fraud, negligence, liability",67730.0,August 2021,not uphold,Claire Pugh,21 September 2023,"Payments made to a third party (T) through his Lloyds bank account without his authorisation, resulting in a significant financial loss.",He believed he was the victim of a scam and that Lloyds failed to protect him from financial loss.,He wanted Lloyds to refund the unauthorised payments and compensate him for the losses incurred.,"Mr H made payments to T after being advised by an individual named D, whom he had previous dealings with. He claims that D was a scammer and that he was manipulated into making the payments. Lloyds did not uphold his complaint, stating that there was insufficient evidence to prove that he was a victim of a scam and that the payments appeared to be authorised.","The Ombudsman considered the evidence and concluded that Mr H failed to demonstrate that he was a victim of a scam. It was established that D set up an account for Mr H with T, and Mr H provided his card details to fund the investment account. The Ombudsman found that Mr H authorised the payments, either directly or by providing D with the authority to act on his behalf. Additionally, the Ombudsman determined that Lloyds was not obligated to prevent the payments or attempt to recover them since they were made to a legitimate business and Mr H had consented to them."
DRN-4211665,Mr B,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank PLC (Lloyds) wouldn't refund money he lost in a scam.,Online international payments,"Scam, Fraud, Payments","Payment protection, Liability for fraudulent payments, Duty of care",101223.09,October 2019,uphold,Martin Lord,22 September 2023,Unauthorised payments made to a scammer,"Lloyds should have intervened to stop the payments as they were high value, to a new payee, and in foreign currency.","Refund of the money he paid, plus compensation of £500.","Mr B was scammed into making a series of payments totalling over £100,000 to purchase shares in a company that had gone into liquidation. He contacted Lloyds to ask for the payments to be recalled, but they were unable to recover the funds. Mr B complained to the Financial Ombudsman Service, arguing that Lloyds should have done more to protect him from the scam.","The Ombudsman found that Lloyds should have intervened to stop the payments after the first payment, as they were of a much higher value than was normal for Mr B and were international currency payments. However, the Ombudsman also found that Mr B could have done more to protect himself, and that it was reasonable for him to bear some of the loss. The Ombudsman therefore ordered Lloyds to refund 50% of the second payment, plus interest."
DRN-4217149,Miss S,Lloyds bank,Banking,Unauthorised push payment scam and partial refund,"Loan, Mobile banking app","Unauthorised payment, Scam, Refund","Authorised push payment scam, Partial refund, Loan repayment",30600.0,,Dont uphold,Sophia Smith,28 October 2023,Unauthorised push payment scam and partial refund,She should receive a full refund of the money lost due to the scam.,Full refund of the losses,"Miss S fell victim to an authorised push payment scam where she was tricked into making payments totalling £30,600 after receiving a scam text message. She received a partial refund of 50% from Lloyds bank but is disputing the remaining 50% and the liability for the loan she was instructed to take out as part of the scam.","The Ombudsman considered the circumstances of the case and concluded that Miss S did not have a reasonable basis of belief when making the first two payments, but did for the third, when she checked the spoofed number she had been called on and it appeared to be from Lloyds. Therefore, the Ombudsman recommended that Lloyds pay a further 50% of the third payment Miss S made as part of the scam (plus interest at the savings account rate). However, the Ombudsman did not uphold the complaint in its entirety as Miss S did not have a reasonable basis of belief for the first two payments."
DRN-4219631,Miss B,Lloyds Bank PLC (Lloyds),Banking,"Response to an incident in branch, security measures, and the way her complaint was handled",Bank account,"Security, incident, compensation","Security measures, customer service, complaint handling",,,Do not uphold,Annabel O'Sullivan,12 December 2023,Incident in branch and Lloyds' response,Unhappy with the staff's response on the day and the security measures in branch,"Stronger security measures, compensation, and an apology",Miss B was subject to an incident in Lloyds branch when a third party attempted to take her card. She was shocked and distressed and complained to the bank about the staff's response and the security measures. Lloyds offered her £50 compensation for the failings in their response but did not uphold her complaint about the security measures.,The Ombudsman considered all the evidence and arguments and found that Lloyds was not responsible for the unlawful actions of a third party. The Ombudsman also found that Lloyds' response to the incident was reasonable and that the £50 compensation offered was a fair response to the failings Lloyds accepted.
DRN-4220380,Mr U,Lloyds Bank PLC,Banking,Outcome of a chargeback claim,Debit card,"Chargeback, VISA, Timeliness","Chargeback scheme rules, Timeliness of chargeback submission, Merchant defense",,,Dont uphold,Phillip McMahon,7 August 2023,"Chargeback claim submitted by Lloyds Bank PLC on behalf of Mr. U was unsuccessful, resulting in the re-debit of disputed transactions from Mr. U's account.","Mr. U believes that Lloyds Bank PLC's premature submission of the chargeback claim, without sufficient supporting evidence, caused his claim to fail and resulted in financial loss.",Mr. U wants Lloyds Bank PLC to take responsibility for the failed chargeback claim and compensate him for the re-debited transactions.,"Mr. U made payments to a merchant on 13 and 14 June 2022. He later disputed these transactions and Lloyds Bank PLC submitted a chargeback claim on 22 June 2022. However, Lloyds Bank PLC failed to provide sufficient evidence to support the claim within the timeframe set by VISA, resulting in the claim being defended by the merchant and the disputed amount being re-debited from Mr. U's account.","The Ombudsman considered the evidence and determined that Lloyds Bank PLC acted within the chargeback scheme rules by submitting the claim promptly. While the Ombudsman acknowledges that Lloyds Bank PLC could have gathered more evidence before submitting the claim, it is not persuaded that this would have changed the outcome of the chargeback claim. Therefore, the Ombudsman finds that Lloyds Bank PLC is not liable for the failed chargeback and dismisses the complaint."
DRN-4222652,Company W,Lloyds Bank PLC,Banking,"Lloyds Bank PLC's failure to refund over £19,000 lost to a scam.",Online banking,"authorized push payments, scam, reimbursement","authorized push payment scam, contingent reimbursement model, customer due diligence",19928.0,24 November 2021,uphold,Jack Ferris,28 August 2023,Unauthorised payments made from the company's account due to a scam.,Lloyds Bank PLC failed to prevent the scam and did not refund the lost amount.,"Refund of the four disputed payments totaling £19,928 and payment of interest on the refunded amount.","An employee of Company W fell victim to a scam and made 12 payments totaling £60,000 to a fraudster. Lloyds Bank PLC, despite being aware of the unusual activity, failed to prevent the scam and only agreed to refund £39,355. Company W complained to the Financial Ombudsman Service for the remaining £19,928.","The Ombudsman upheld the complaint and directed Lloyds Bank PLC to refund the four disputed payments totaling £19,928 and pay 8% simple interest per year on the refunded amount. The Ombudsman found that Lloyds Bank PLC failed to provide sufficient evidence to support its position and that it should have intervened when the third payment of £4,982 was being attempted from Company W's account."
DRN-4224095,Mr H,Lloyds Bank PLC (Lloyds),Banking,"Failure to remove overdraft after complaint of irresponsible lending was upheld, leading to further debt.",Overdraft facility,"Overdraft, Irresponsible lending, Financial difficulty","Overdraft management, Complaint handling, Financial vulnerability",,,Opposite,Caroline Davies,15 August 2023,Overdraft,"Lloyds failed to remove his overdraft despite upholding his complaint of irresponsible lending, leading to further debt.",Wipe the balance of his overdraft.,"Mr. H complained that Lloyds failed to remove his overdraft after his complaint of irresponsible lending was upheld. Despite acknowledging their error, Lloyds did not remove the overdraft, resulting in Mr. H using it again and accumulating more debt. Mr. H sought to have the remaining balance of his overdraft written off.","The Ombudsman acknowledged Lloyds' error in not removing the overdraft and the subsequent refund of fees and charges. However, the Ombudsman considered that it would not be fair to write off the overdraft balance as Mr. H had used the funds and should repay them. The Ombudsman deemed Lloyds' actions to rectify the situation, including a three-month interest and fee-free overdraft reduction plan and compensation, to be fair and reasonable."
DRN-4232893,Mr and Mrs W,Lloyds Bank PLC (Lloyds),Banking,"Lloyds increased their overdraft limit from £1,000 to £2,500 irresponsibly leading to default on their credit file",Overdraft facility,"Overdraft limit increase, irresponsible lending, default on credit file","Overdraft management, affordability assessment, credit reporting",,September 2019,uphold,Caroline Davies,28 August 2023,Increase in overdraft limit and subsequent default on credit file,They believe the overdraft limit increase was irresponsible and led to the default on their credit file,Removal of the default from their credit file,"Mr and Mrs W had an agreed overdraft limit of £1,000 with Lloyds. In September 2019, Lloyds approved an increase in their overdraft limit to £2,500. Mr and Mrs W complained that the increase was irresponsible and Lloyds upheld their complaint. Lloyds refunded all overdraft fees and charges since September 2019, backdated the default on their credit file to September 2019, and compensated them £80 for distress and inconvenience. Mr and Mrs W remained unhappy and brought their complaint to the Financial Ombudsman Service.","The Ombudsman agreed that Lloyds should not have increased the overdraft limit as it was too large and they failed to maintain a credit balance for a reasonable period of time. However, the Ombudsman also found that it was not likely that Mr and Mrs W would have been able to repay the original £1,000 overdraft within a reasonable period of time and avoid a default. Therefore, the Ombudsman did not require Lloyds to do anything more."
DRN-4240895,Mr H,Lloyds Bank PLC,Banking,Incorrect information provided by the bank regarding the removal of his name from a joint account.,Joint bank account with overdraft facility,"Joint account, overdraft, incorrect information","Account management, customer service, financial difficulty",450.0,,uphold,Caroline Davies,3 November 2023,Incorrect advice given by Lloyds Bank regarding the removal of Mr. H's name from a joint account.,"Mr. H was advised that he could be removed from the joint account by paying half of the outstanding overdraft balance, but when he visited the branch, he was informed that it was not possible without the joint account holder present and while the account was in arrears.",Mr. H wanted Lloyds to write off the remaining overdraft balance and remove his name from the joint account.,"Mr. H contacted Lloyds Bank to inquire about the possibility of removing his name from a joint account with his ex-wife by paying half of the outstanding overdraft balance. He was initially informed that he could do so by visiting a branch, but when he went to the branch, he was told that it was not possible without the joint account holder present and while the account was in arrears. Lloyds upheld Mr. H's complaint and offered him £50 as compensation for the distress and inconvenience caused.","The Ombudsman acknowledged that Lloyds provided incorrect information to Mr. H regarding the removal of his name from the joint account and that he was entitled to compensation for the distress and inconvenience caused. However, the Ombudsman did not agree that Lloyds should write off the remaining overdraft balance as the debt was the responsibility of both account holders. The Ombudsman also did not find any evidence to suggest that Lloyds' actions had caused Mr. H's mortgage offer to decrease."
DRN-4242389,Mr B,Lloyds Bank PLC,Banking,Incorrect information provided about account balance,Bank account,"account balance, debt, information","incorrect information, debt plan, communication",,,dont uphold,David Singh,23 August 2023,"Incorrect information provided by Lloyds Bank PLC about Mr B's account balance to an organisation called S, which was assisting Mr B with his debt.",Mr B complained that the incorrect information provided by Lloyds caused him to waste his time and damaged his relationship with S.,An apology for the mistake and compensation for the waste of time caused by Lloyds.,"Mr B alleged that Lloyds gave incorrect information about his account balance to an organisation called S, which was assisting him with his debt. Lloyds denied providing any such information and stated that Mr B's account balance was zero. Mr B provided an email from S stating that Lloyds had been in contact about a debt, but Lloyds maintained that there was no record of any such conversation.","The Ombudsman found no evidence to support Mr B's claim that Lloyds provided incorrect information to S. While it was possible that Lloyds may have made a mistake, the Ombudsman did not consider the impact on Mr B to be significant as he was aware that there was no balance owed. Therefore, the Ombudsman did not uphold the complaint and did not award any compensation."
DRN-4245105,Mr and Mrs B,Lloyds Bank PLC (Lloyds),Banking,"Being charged for their fee-paying packaged account in 2021 despite having a fee-waiver feature that exempted them from the monthly fee if they kept at least £2,000 in their account.",Gold account,"Packaged account, fee-waiver, mis-sold","Mis-selling of the account, removal of the fee-waiver, unfairness of the bank's actions",,,Dont uphold,Thomas White,19 October 2023,Packaged bank account,They were being charged a monthly fee for their packaged bank account despite having a fee-waiver that exempted them from the fee if they kept a certain amount of money in their account.,They wanted the bank to reinstate the fee-waiver or allow them to switch to a fee-free account without losing the benefits of the Gold account.,"Mr and Mrs B had a Gold account with Lloyds Bank that included a fee-waiver feature, which exempted them from the monthly account fee if they kept at least £2,000 in their account. In 2021, Lloyds removed the fee-waiver from all Gold accounts, including Mr and Mrs B's account. They complained to Lloyds, arguing that the removal of the fee-waiver was a breach of contract and that the account had been mis-sold to them.","The Ombudsman considered the arguments presented by both sides and concluded that Lloyds was entitled to remove the fee-waiver feature from the Gold account as the account terms and conditions contained a variation clause that allowed the bank to make changes to the cost or benefits of the account, provided sufficient notice was given. The Ombudsman also found that Lloyds had provided Mr and Mrs B with reasonable notice of the fee-waiver removal."
DRN-4250001,Mr R,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund unauthorized transactions made from his account.,Savings and current account,"unauthorized transactions, refund, timeliness","unauthorized transactions, liability for unauthorized transactions, timeliness of reporting unauthorized transactions",,,I dont uphold this complaint.,Rebecca Hardman,8 September 2023,unauthorized transactions,"The complainant reported the unauthorized transactions more than 13 months after they occurred, which is beyond the time frame specified in the terms and conditions of his account.",Refund of the unauthorized transactions.,"The complainant, Mr. R, had an account with Lloyds Bank PLC. While he was in prison overseas, someone transferred his savings into his current account and then spent or withdrew all his funds. Mr. R reported this to Lloyds, but the bank refused to refund the payments because they had occurred more than 13 months before he reported them. Mr. R argued that he could not have made the payments himself as he was in prison during the relevant period and did not have access to online banking.","The Ombudsman considered the relevant regulations and the terms and conditions of Mr. R's account, which stated that the bank would not refund payments reported more than 13 months after they were made. The Ombudsman noted that Mr. R did not contact Lloyds until 18 months after the last disputed transaction. While the Ombudsman acknowledged that Mr. R was in prison during the relevant period, he also found that Mr. R had allowed a friend to have access to his online banking and that he was aware that a third party may have tried to access his savings. The Ombudsman concluded that Mr. R had not reported the unauthorized transactions within the required time frame and that Lloyds was entitled to rely on the terms and conditions of the account."
DRN-4250709,Mr S,Lloyds Bank Plc (Lloyds),Banking,Mr S complains that Lloyds Bank Plc (Lloyds) wont refund the money he says he lost to a scam.,Current account,"Scam, refund, building work","Unauthorised payments, Liability for fraud, Quality of service",4000.0,,opposite,Emly Hanley Hayes,4 December 2023,Unauthorised payments,Mr S says he was scammed by a builder and that Lloyds should refund the money he paid to the builder.,Mr S wants Lloyds to refund the money he paid to the builder.,"Mr S paid a builder £4,000 to renovate his property. The builder did some work, but not to the agreed standard, and then stopped responding to Mr S's messages. Mr S reported the incident to Lloyds and asked for a refund. Lloyds refunded Mr S £1,000, but he is not satisfied with this and has brought his complaint to the Ombudsman.","The Ombudsman does not think that Mr S was the victim of a scam. She says that it is more likely that this is a private civil dispute between Mr S and the builder. She also says that Lloyds did not need to do anything else to protect Mr S, given the relatively low value of the payments in question."
DRN-4254108,Mr T,Lloyds Bank PLC,Banking,Did not receive a £200 incentive payment for switching his current account.,Current account,"Incentive payment, Current account switch, Eligibility criteria","Sales telephone call, Branch meeting, Qualifying accounts",200.0,N/A,Dont uphold,Oluwatobi Balogun,31 August 2023,Payment of incentive for switching current account,He was not informed that the account he applied for was not eligible for the incentive and he feels it was pointless switching accounts without the incentive.,Payment of the £200 incentive,"Mr. T applied to switch his current account to Lloyds Bank PLC and expected to receive a £200 incentive. However, he did not receive the incentive as the account he opened did not meet the eligibility criteria. He complained to the Financial Ombudsman Service after Lloyds offered him £125 compensation which he considered insufficient.","The Ombudsman found that Lloyds did not provide Mr. T with incorrect or misleading information and that he was not eligible for the incentive as per the terms and conditions of the offer. However, the Ombudsman acknowledged that Lloyds did not process Mr. T's application promptly and that he had to visit his local branch to resolve the issue, which caused him inconvenience. Therefore, the Ombudsman considered the £125 compensation offered by Lloyds to be fair and did not uphold the complaint."
DRN-4266016,R,Lloyds Bank PLC,Banking,The way Lloyds Bank PLC closed its business account and overdraft fees charged.,Business current account and associated overdraft,"account closure, overdraft fees, notice period","account closure process, communication issues, overdraft charges",,21 February 2023,I dont uphold Rs complaint,Marco Manente,26 September 2023,Closure of business account and overdraft fees,Lloyds Bank PLC closed its business account without a valid reason and charged unfair overdraft fees.,"A valid reason for closing the business account, a refund of overdraft fees, and an investigation into the release of information to its clients.","Lloyds Bank PLC closed R's business account without providing a clear reason, leading to communication issues and inconvenience. R also raised concerns about overdraft fees and alleged that Lloyds Bank PLC informed their clients that the account closure was due to fraud.","The Ombudsman found that Lloyds Bank PLC acted within its rights and provided the required notice period when closing the business account. Although the letters regarding the account closure and the new Loan Servicing Account were not received by R, the Ombudsman was satisfied that Lloyds Bank PLC followed the correct procedures. The Ombudsman also did not find evidence of overcharged overdraft fees. The complaint about the release of information to clients was deemed a separate issue and R was advised to refer it to Lloyds Bank PLC as a new case."
DRN-4266295,Mr K,Lloyds Bank PLC,Banking,"Unauthorised transactions on his account totalling £2,500",Online banking,"Unauthorised transactions, Online banking, Fraud","Online banking security, Customer service, Investigation",2500.0,31 December 2022,not upholding,Nicolas Atkinson,2 January 2024,"Two unauthorised transactions on his account, one for £2,000 and one for £500",He did not authorise or consent to the transactions,A refund of the two unauthorised transactions,"Mr K complained that Lloyds Bank had not refunded two unauthorised transactions totalling £2,500. Lloyds Bank investigated the transactions and concluded that they were not fraudulent. Mr K remained unhappy and referred his complaint to the Ombudsman.","The Ombudsman found that the evidence showed that both transactions were made using Mr K's online banking and two different mobile phones that were registered with Lloyds Bank at the time of the transactions. The Ombudsman also found that Mr K had confirmed the £2,000 transfer when he spoke to Lloyds Bank on 31 December 2022 and that he had not reported his Samsung phone as stolen until 7 January 2023 despite saying it had been stolen on 27 December 2022."
DRN-4268238,"S, a charity",Lloyds Bank PLC,Banking,Poor service and delay in opening a new bank account,Bank account,"Account opening delay, Communication failure, Financial loss","Application process, Lack of communication, Missed funding opportunities",,,opposite,Juliet Collins,22 December 2023,Delay in opening a new bank account and missing out on funding opportunities,"Inadequate communication from Lloyds Bank about the account opening process, resulting in missed funding opportunities and inconvenience.",Compensation for the inconvenience faced and reimbursement of any funding opportunities missed due to the delay.,"S, a charity, applied for a new bank account with Lloyds Bank in March 2022. The application process was not completed due to an interrupted phone call and subsequent miscommunication between S and Lloyds. S claims to have made multiple follow-up calls during the 90-day period but faced conflicting information and delays. The account was eventually opened in September 2022 after S resubmitted the application. S alleges that the delay caused them to miss out on funding opportunities.","The Ombudsman found that while there were some communication issues and delays on Lloyds' part, S also contributed to the delay by not promptly following up on the application after the initial call. The Ombudsman considered the compensation already provided by Lloyds to be fair and reasonable and did not require any further action from the bank."
DRN-4298789,Mr B,Lloyds Bank Plc,Banking,Handling of a chargeback claim for a flooring purchase,Debit card,"['Chargeback', 'Refund', 'Flooring']","['Consumer rights', 'Banking services', 'Financial loss']",,September 2022,Do not uphold,Christopher Reeves,21 December 2023,Handling of a chargeback claim for a flooring purchase,"Lloyds Bank's decision not to escalate a chargeback dispute to arbitration, resulting in additional interest charges on his overdrawn account.",Refund of interest charged on overdrawn account,"Mr. B made a flooring purchase of £1,126.67 using his Lloyds Bank debit card. Some of the flooring was damaged upon arrival, and Mr. B sought a refund from the supplier, Business 1. After unsuccessful attempts to resolve the issue with the supplier, Mr. B contacted Lloyds Bank, which raised a chargeback and applied a temporary credit to his account. Business 1 defended the claim, and Lloyds Bank chose not to escalate the matter to arbitration. Mr. B received a partial refund of £935.88 from Business 1 and initiated legal proceedings against them for the remaining amount. He complained to the Financial Ombudsman Service about Lloyds Bank's handling of the chargeback claim.","The Ombudsman considered the available evidence and determined that Lloyds Bank had sent an email to Mr. B on January 12, 2023, informing him of the status of the chargeback and the need for further action. While Mr. B claimed not to have received the email, the Ombudsman found that Lloyds Bank had fulfilled its communication obligations. The Ombudsman also noted that even if Mr. B had provided additional information on or around January 12, 2023, it was unlikely to have changed the outcome of the dispute in his favor. Therefore, the Ombudsman did not uphold the complaint and declined to direct Lloyds Bank to refund the interest charged on Mr. B's overdrawn account."
DRN-4303111,Mr S and Miss T,Lloyds Bank PLC,Banking,Declined refund for payments made to an investment scam.,Faster Payments transfer,"APP scam, CRM Code, reasonable basis","Authorised Push Payment scam, Contingent Reimbursement Model, liability for fraudulent payments",20000.0,,Do not uphold,Stephen Dickie,13 September 2023,Payments made to an investment scam,Lloyds Bank PLC declined to refund them fully for payments they made to what they now understand was an investment scam.,Full refund of the payments made to the scam.,"Mr S and Miss T made five payments totaling £50,000 to an investment scheme that turned out to be a scam. Lloyds Bank PLC, their bank, declined to refund them fully, arguing that they had not exercised reasonable caution in making the payments. The Ombudsman found that Lloyds was not liable for the first two payments as they occurred before the Contingent Reimbursement Model (CRM) Code came into effect and that the bank had acted reasonably in allowing the subsequent payments based on the information provided by Mr S.",The Ombudsman considered that Lloyds Bank PLC was not required to refund more than the 50% it had already paid Mr S and Miss T under the CRM Code. The Ombudsman also found that Lloyds Bank PLC was not at fault in not intervening again in relation to the later payments and that it had taken appropriate steps in attempting to recover the payments.
DRN-4318791,Mr and Mrs P,Lloyds Bank Plc,Banking,Unauthorised disclosure of business financial information to an employee and delayed processing of cheques.,Business bank accounts and internet banking,"Unauthorised access, Data breach, Cheque processing","Data protection, Banking services, Financial loss",,,uphold,Laura Colman,22 September 2023,"Unauthorised access to their main business account by an employee, Ms E, leading to a breach of confidentiality and delayed processing of cheques.",The complainants were concerned about the bank's security measures and the lack of transparency regarding the implications of making an employee a full power signatory to their business account.,The complainants sought compensation for the distress caused by the data breach and the inconvenience caused by the delayed cheque payments.,"The complainants, Mr and Mrs P, alleged that Lloyds Bank Plc wrongly disclosed information about their business finances to one of their employees, Ms E. They also complained that Lloyds delayed processing cheques they had issued. An investigation revealed that Ms E gained access to the complainants' main account through internet banking after she was made a full power signatory to an additional business account. The complainants claimed that they were not aware of the implications of this action and that the bank did not make it sufficiently clear. Lloyds argued that the forms provided clearly explained the consequences of making Ms E a full power signatory and that the complainants had signed the mandate without questioning its wording.","The Ombudsman acknowledged that Lloyds handled Ms E's online banking application in accordance with its procedures. However, the Ombudsman found that the bank did not make it sufficiently clear to the complainants that giving Ms E full power signatory rights to the additional account would allow her to use internet banking to access the main account. Regarding the delayed cheques, the Ombudsman considered the payments unusual and acknowledged the bank's caution in taking security measures. While the Ombudsman agreed with the bank that the complainants signed the mandate form, it was determined that the bank could have done more to clarify the implications of making Ms E a full power signatory. The Ombudsman awarded the complainants £500 for the distress they suffered as a result of the data breach."
