Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-4036144,Mr S,Barclays Bank UK PLC (Barclays),Banking,Failure to recover a payment sent in error,Online banking,"Payment recall, Saved payee, Third-party account","Payment error, Recovery of funds, Customer support",3700,April 2022,Do not uphold,Barry White,23 August 2023,Payment error and difficulty in recovering funds sent to a wrong account.,Barclays' alleged failure to assist in recovering an erroneous payment and lack of sufficient support.,Return of the erroneously sent funds.,"Mr. S accidentally sent a payment intended for his son's bank account to a saved payee in his banking app. Despite efforts by both his bank and Barclays, the funds could not be retrieved due to the recipient's lack of authorization. Barclays offered £100 for the inconvenience, which Mr. S rejected.","The Ombudsman acknowledged Mr. S's situation but found no error on Barclays' part. The payment went to a third-party account, and Barclays attempted to obtain authorization for its return but was unsuccessful. The Ombudsman suggested legal advice for Mr. S to pursue the matter further.",Barclays Bank UK PLC
DRN-4036463,Ms D,Lloyds Bank PLC (Lloyds),Financial services,Unfair closure of credit card account,Credit card,"Persistent debt, account closure, communication","Persistent debt rules, communication between bank and customer, affordability of payments",,,Not upheld,Simona Reese,31 October 2023,"The complainant, Ms. D, complained about the unfair closure of her credit card account by Lloyds Bank PLC (Lloyds).",Ms. D stated that she was a loyal customer who had paid the minimum amount each month and was not made aware that the account would be closed.,Ms. D wanted the account to be reinstated and for the interest to be waived.,"Ms. D held a credit card account with Lloyds for several years. Lloyds identified her account as being in persistent debt and sent her letters informing her of this and requesting her to increase her monthly payments. As the payments were not increased, Lloyds closed the account in August 2022. Ms. D complained, stating that she had not received the letters and was not aware that the account would be closed.","The Ombudsman considered the evidence and determined that Lloyds had correctly applied the rules related to persistent debt and had clearly communicated to Ms. D the potential consequences of not increasing her payments. The Ombudsman also found that Ms. D had not provided sufficient evidence to indicate that she was struggling financially and needed support. Therefore, the Ombudsman concluded that Lloyds had acted fairly and reasonably in closing Ms. D's credit card account.",Lloyds Bank PLC
DRN-4036640,Mr H,Barclays Bank UK Plc (Barclays),Banking,Difficulties experienced when making an insurance claim on a Tech Pack provided by Barclays.,Tech Pack insurance,"Insurance claim, Tech Pack, Barclays","Packaged bank accounts, Insurance policies, Claims handling",,,Dont uphold,Charlie Newton,11 July 2023,The complaint relates to the handling of an insurance claim made by Mr. H on a Tech Pack provided by Barclays.,Mr. H believes that Barclays should be held responsible for the way his insurance claim was handled.,Mr. H wants Barclays to take responsibility for the handling of his insurance claim and provide a refund of the premiums paid.,"Mr. H experienced difficulties when making an insurance claim on a Tech Pack provided by Barclays. He contacted Barclays about the issue, but Barclays refused to help him. Mr. H disagreed with the decision and asked for an ombudsman to review his complaint.","The Ombudsman considered the evidence and determined that Barclays was not responsible for the actions of the Tech Pack provider. The Tech Pack terms and conditions clearly state that the insurer is responsible for handling claims and dealing with complaints related to the insurance policy. Therefore, the Ombudsman concluded that Barclays does not need to take any further action in relation to this matter.",Barclays Bank UK PLC
DRN-4036740,Mr Y,British Gas Insurance Limited,Insurance,"Being charged two policy excesses for repairs carried out on 21 February 2022 and 17 June 2022, poor customer service, and ongoing issues with his heating system.","HomeCare policy with British Gas, which provides boiler, controls and central heating cover, including an annual service.","Policy excess, customer service, heating system","Excess charges, quality of service, communication and documentation",,,Dont uphold,Patricia O'Leary,19 July 2023,"Being charged two policy excesses for repairs carried out on 21 February 2022 and 17 June 2022, poor customer service, and ongoing issues with his heating system.",Mr. Y believes that the repairs were related and only one excess should have been charged. He is also unhappy with the level of customer service provided and says he's still having problems with his heating system.,Mr. Y wants British Gas to write off the second excess charge of £60.,"Mr. Y has a HomeCare policy with British Gas which covers repairs to his central heating system, but each separate repair is subject to a £60 policy excess. He was charged two policy excesses for repairs carried out on 21 February 2022 and 17 June 2022. He believes that the repairs were related so only one excess should have been charged. He is also unhappy with the level of customer service provided and says he's still having problems with his heating system.","The Ombudsman considered all the available evidence and arguments and concluded that the two policy excesses charged by British Gas were fair and reasonable. The Ombudsman also considered the level of customer service provided by British Gas and found that there were some shortfalls in the service Mr. Y received, but not to the extent that would warrant any further action.",British Gas Insurance Limited
DRN-4037304,Ms N,Royal & Sun Alliance Insurance Limited (RSA),Insurance,Failure to deal adequately with her claim for water damage to her property under her home insurance and failure to provide a reasonable settlement.,Home insurance,"Water damage, settlement, contractors","Delays, communication issues, cash settlement",,,uphold in part,Ray Lawley,21 April 2023,Water damage to property,"Delays, lack of communication, inadequate settlement","Fair settlement, repairs to be completed","Ms. N filed a water damage claim with RSA in October 2017. There were delays in getting the property ready for repairs, and RSA agreed to pay £250 compensation. RSA issued a final response letter on 26 January 2018, offering compensation. There were difficulties in contacting Ms. N to arrange repairs, and the claim file was closed in May 2018. Ms. N complained to the Financial Ombudsman Service, and the complaint was initially dealt with by an investigator in September 2018. The investigator suggested that Ms. N contact RSA to arrange for repairs and stated that it was not reasonable for RSA to pay laundry costs since she had received a payment for damaged contents including a washer/dryer. RSA reopened the claim and arranged for different contractors to assess the damage. There were further delays due to difficulties in scheduling appointments with the contractors. In May 2019, Ms. N instructed solicitors who wrote to RSA in August 2019 stating that the claim had not progressed. RSA reappointed the loss adjusters who carried out a site visit in November 2019. A cash settlement was calculated, but Ms. N wanted RSA's contractors to do the work. RSA said it had no other contractors available and could only offer the cash settlement based on its contractors' costs. There were further delays and disagreements about the settlement amount. RSA paid the £500 compensation and the £250 offered in 2018 in November 2021. It also paid the £4,500 for the repairs.","The Ombudsman considered the available evidence and arguments to determine what is fair and reasonable in the circumstances of the complaint. The Ombudsman found that RSA was not responsible for all the delays and that it acted fairly in offering and paying Ms. N the cash settlement based on its cost to repair. However, the Ombudsman also found that RSA should have offered to pay the cash settlement earlier and should have paid interest on the settlement from 1 May 2019 to 8 November 2021. The Ombudsman also found that RSA should pay Ms. N's laundry costs from 26 January 2018 to 8 November 2021 with interest, as well as any extra electricity costs for electric heating and any costs not already paid for showering over the same period with interest. The Ombudsman also recommended that RSA pay an additional £100 compensation.",Royal & Sun Alliance Insurance Limited
DRN-4037766,Mr & Mrs V,AXA Insurance UK Plc,Insurance,Mishandling of a claim on a motor insurance policy.,Motor insurance policy,"Mechanical failure, communication, compensation","Claim declination, communication issues, compensation offered",,,Dont uphold,Christopher Gilbert,24 July 2023,"Declining their claim for damage to their car, which they believed was caused by hitting a pothole, and poor communication throughout the process.","They believed the damage was caused by hitting a pothole and not a mechanical failure, as determined by AXA's engineer.",They wanted AXA to meet their claim and improve their communication.,"Mr. and Mrs. V filed a claim with AXA for damage to their car, which they believed was caused by hitting a pothole. AXA denied the claim, stating that the damage was due to a mechanical failure, which was excluded under their policy. Mr. and Mrs. V complained to the Ombudsman, arguing that it was unlikely both air springs and the air supply unit failed simultaneously due to mechanical failure and that the engineer did not examine the damaged parts when inspecting the car.","The Ombudsman considered the evidence and determined that it was reasonable for AXA to conclude that the damage was a mechanical failure, based on the engineer's report. While acknowledging the shortcomings in AXA's communication, the Ombudsman found that the £150.00 payment made by AXA was fair compensation for the inconvenience caused.",AXA Insurance UK Plc
DRN-4037844,Mr D,Aviva Insurance Limited,Insurance,Claim settlement made by Aviva Insurance Limited and the service he received.,Jewellery insurance,"Claim settlement, valuation, policy terms","Insurance claim, valuation of watch, policy requirements",10000,,dont uphold,Lindsey Woloski,3 November 2023,Settlement amount for stolen watch,Aviva paid less than the watch's insured value and did not accept his valuation.,"Full settlement amount as per the valuation of £10,000.",Mr. D claimed for his stolen watch under his jewellery insurance. Aviva accepted the claim but paid less than the insured value. Mr. D complained about the settlement amount and the service he received.,"The Ombudsman found that the settlement amount was fair based on the evidence of similar pre-owned watches. The policy required a valuation from a National Association of Jewellers Registered valuer, which Mr. D's valuation did not meet. Although Aviva initially agreed to accept a valuation after the theft, it was not acceptable as it was without seeing the watch. The Ombudsman considered it reasonable for Aviva to later apologise and offer to refund the valuation fee and increased premiums.",Aviva Insurance Limited
DRN-4038193,Mrs B,UK Insurance Limited (UKI),Insurance,"Incorrectly sent motor insurance documentation to an old address, compromising her safety.",Motor insurance policy,"Data protection, Negligence, Distress","Data breach, Failure to correct error, Inadequate compensation",,,uphold,Derek Dunne,18 May 2023,Incorrectly sent motor insurance documentation,Safety concerns due to personal information being accessible to a third party,Additional compensation for distress and inconvenience,"UKI sent Mrs. B's motor insurance documentation to an incorrect address, which was accessed by the current residents. Mrs. B felt her safety and her vulnerable partner's safety were compromised as a result. UKI offered £50 in compensation, which Mrs. B considered insufficient.","The Ombudsman considered the specific circumstances of the case, including the potential impact of the data breach on Mrs. B's safety and mental health. The Ombudsman concluded that UKI did not fully consider the severity of the error and its consequences, and that £250 in additional compensation was appropriate.",U K Insurance Limited
DRN-4039062,Ms W,Atlanta Insurance Intermediaries Limited (Atlanta),Financial services,Unfair cancellation fee charged during the cooling-off period.,Home insurance policy,"Cancellation fee, cooling-off period, online insurance purchase","Cancellation fees, Cooling-off period, Misleading information",,,Do not uphold,Jane Gallacher,26 April 2023,Cancellation fee charged during the cooling-off period,Ms. W was not clearly informed about the cancellation fee before purchasing the policy.,Refund of the cancellation fee and compensation for distress and inconvenience.,"Ms. W purchased a home insurance policy through Atlanta's website and canceled it within the 14-day cooling-off period. Atlanta charged her a £25 cancellation fee, which she disputed. She also complained about the handling of a live chat and incorrect information in the insurance product information document (IPID).","The Ombudsman initially intended to uphold the complaint as Atlanta failed to provide evidence that Ms. W was duly informed about the cancellation fee. However, Atlanta provided new information showing that Ms. W had the opportunity to review the cancellation charge before purchasing the policy. The Ombudsman found this information persuasive and concluded that Atlanta had done enough to inform Ms. W about the fee.",Atlanta Insurance Intermediaries Limited
DRN-4041473,Mr and Mrs L,esure Insurance Ltd,Insurance,The amount paid by esure Insurance Ltd to settle a claim made under their home insurance policy.,Home insurance policy,"Settlement amount, pandemic, building costs","Claim handling, settlement agreement, increased building costs",30000,,I dont uphold this complaint.,James Neville,27 April 2023,The amount of the settlement offered by esure for subsidence damage to their home.,The complainant believed that esure should have increased the settlement amount due to the increased cost of building work since the settlement was agreed.,"The complainant wanted esure to increase the settlement amount by around £30,000 to cover the increased cost of the work.","The complainants made a claim for subsidence damage to their home in 2018. esure accepted the claim and agreed to carry out repairs in March 2020. However, due to the pandemic, esure's builder was unable to carry out the work. esure agreed to settle the claim for £65,000, which included the cost of the building work, associated costs, and compensation for claim delays. In October 2022, the complainant contacted esure to ask it to increase the settlement amount as the cost of the work had increased to around £80,000. esure declined to pay anything further.",The Ombudsman found that the settlement agreed in May 2020 was fair and that the increased costs since then were not the result of any failures by esure. The Ombudsman also found that the complainant had not returned to esure soon enough after accepting the cash settlement to justify an increase in the settlement amount.,esure Insurance Limited
DRN-4041795,Mr Z,Haven Insurance Company Limited (Haven),Insurance,"Settlement amount, car being declared a total loss, personal belongings not returned, delays and poor service in handling the claim, personal injury claim being turned down",Car insurance policy,"Settlement dispute, total loss, delay in claim handling","Fairness of settlement, handling of personal belongings, quality of service",,,uphold in part,Jane Gallacher,26 April 2023,Car insurance claim,"Unfair settlement, disagreement with car being declared a total loss, personal belongings not returned, delays and poor service","Fair settlement, return of personal belongings, compensation for distress and inconvenience","Mr. Z's car was involved in an accident and he made a claim on his car insurance policy with Haven. He was dissatisfied with the settlement amount, the decision to declare his car a total loss, the handling of his personal belongings, and the delays and poor service he experienced during the claims process.","The Ombudsman found that Haven acted reasonably in deciding the car was a total loss and in treating the claim as a fault claim. However, the settlement offer was found to be unfair and the Ombudsman directed Haven to pay an additional amount. Haven was also found to be at fault for the delays and inconvenience caused to Mr. Z, and was directed to pay compensation for distress and inconvenience.",Haven Insurance Company Limited
DRN-4043356,B,Aviva Insurance Limited (Aviva),Insurance,Unfairly declined a claim for damage to its property's chimney and roof under its Health and Social Care Policy.,Health and Social Care policy with Asset Protection Property Damage  All Risks and Theft,"Chimney damage, roof damage, accidental damage cover","Policy coverage, wear and tear exclusion, accidental damage",1700,30 January 2021,Dont uphold,Ankita Patel,26 April 2023,Chimney and roof damage,"Chimney fell on roof causing damage, accidental damage cover",Compensation for the repair costs,"B filed a claim with Aviva for damage to its chimney and roof, which they believed was caused by a storm. Aviva denied the claim, stating that the damage was due to wear and tear and not covered under the policy. B disputed this decision and brought the complaint to the Ombudsman.","The Ombudsman reviewed the evidence and determined that it was more likely than not that the damage was caused by wear and tear, not a one-off event. Therefore, the damage was not covered under the policy's accidental damage section.",Aviva Insurance Limited
DRN-4045139,Mr V and Mrs V,U K Insurance Limiteds (UKI),Insurance,Cancellation of their landlord insurance policy,Landlord insurance policy,"Landlord insurance, direct debit, cancellation","Policy cancellation, communication issues, compensation",,,uphold,Emma Hawkins,17 August 2023,The cancellation of their landlord insurance policy due to failed direct debit payments,"UKI's failure to reinstate the cancelled policy without an increased premium, despite assurances that there wouldn't be any additional costs.",Reinstatement of the original policy without an increased premium or appropriate compensation for the inconvenience and distress caused.,"Mr and Mrs V held a landlord insurance policy with UKI for several years. In August 2022, they became aware that their policy had been cancelled due to unpaid direct debits. UKI claimed to have sent letters in June and September 2022 informing them about the failed payments, but Mrs V, who lives abroad, did not receive these letters until after the policy was cancelled. Despite assurances from UKI during live chats that the issue would be resolved and there would be no additional costs, a new policy was arranged with a higher premium due to an open claim.","The Ombudsman considered the evidence, including live chat transcripts where UKI acknowledged the error was on their part and assured Mrs V that there would be no increased cost for a replacement policy. The Ombudsman also noted that UKI's reliance on postal correspondence despite knowing the delays in receiving mail and the specific request for email communication was unreasonable. While acknowledging that Mr and Mrs V could have monitored the direct debit status themselves, the Ombudsman found that the assurances given by UKI during the live chats contributed to their trust that the issue was being handled. The Ombudsman concluded that UKI's actions caused distress and inconvenience to Mr and Mrs V, and the recommended compensation of £125 was fair and appropriate.",U K Insurance Limited
DRN-4045296,Mr H and Mrs H,Aviva Insurance Limited,Insurance,Cash settlement paid by Aviva Insurance Limited under a home insurance policy.,Home insurance policy,"Cash settlement, payment terms, loss assessor","Payment of cash settlement, interpretation of payment terms, role of loss assessor",4020,,uphold,Louise O'Sullivan,21 April 2023,"Aviva paid the full cash settlement to the loss assessor, who then paid the furniture company in two instalments. However, the furniture company stopped trading before completing the work.",They had to pay for some of the work to be completed when the furniture company stopped trading and they believe Aviva should have taken steps to ensure some of the money was retained until the work was complete.,They want Aviva to pay for the outstanding work and compensate them for the distress and inconvenience caused.,"Mr and Mrs H made a claim under their home insurance policy following a flood at their home. Aviva appointed a loss adjuster to deal with the claim and Mr and Mrs H appointed a loss assessor. Aviva agreed to pay a cash settlement for some bespoke furniture and Mr and Mrs H said the money would go via their loss assessor to the furniture company. The money was paid to the furniture company in two instalments. However, before it completed the work, the furniture company stopped trading. Mr and Mrs H complained to Aviva, who said it wasn't responsible for the outstanding works as the full settlement had been paid to Mr and Mrs H's loss assessor.","The Ombudsman found that the surveyor acting for Aviva had changed the payment terms agreed with the furniture company, which resulted in the full payment being made before the work was completed. The Ombudsman considered that this change in payment terms contributed to the situation where the furniture company received the full payment but did not complete the work. Therefore, the Ombudsman upheld the complaint and required Aviva to pay Mr and Mrs H the amount they had to pay to complete the outstanding work, as well as compensation for the distress and inconvenience caused.",Aviva Insurance Limited
DRN-4048871,Mr and Mrs M,Nationwide Building Society,Financial services,"Delay in processing a request to switch interest rate on their mortgage, leading to financial loss due to rising interest rates.",Mortgage,"Mortgage, Interest rate, Delay","Online banking, Customer service, Financial loss",1000,September 2022,Do not uphold,Simon Pugh,18 December 2023,"Nationwide's policy of requiring customers to speak to a mortgage adviser before taking a rate switch that involved an early repayment charge (ERC), and the delay in getting an appointment with a mortgage adviser.","They felt that Nationwide's policy was inflexible and caused them financial loss, and that they should have been offered a rate from those available when they started the process rather than the higher rates available at the time of the appointment.",They wanted Nationwide to compensate them for the financial loss they incurred due to the delay in processing their request to switch interest rate.,"Mr and Mrs M tried to switch their mortgage interest rate online but were unable to do so as Nationwide's policy required them to speak to a mortgage adviser for such changes. They had difficulty getting through to Nationwide and were able to make an appointment only after two weeks. By that time, interest rates had risen, causing them financial loss. They felt that Nationwide's policy was inflexible and caused them unnecessary delay.","The Ombudsman considered that Nationwide's policy of requiring customers to speak to a mortgage adviser before taking a rate switch that involved an ERC was reasonable as it aimed to protect customers by ensuring they fully understand the implications of their decision. While it was unfortunate that Mr and Mrs M experienced a delay in getting an appointment and that interest rates rose in the meantime, the Ombudsman did not find that Nationwide had acted unfairly or unreasonably in this case.",Nationwide Building Society
DRN-4049023,Miss F,Santander Consumer (UK) Plc (trading as Kia Financial Services) (Kia),Financial services,"Faulty clutch, old tyres, lack of better finance options, early settlement figure affecting credit rating",Car acquired with finance,"faulty clutch, old tyres, finance options","Vehicle condition, finance options, communication and customer service",,June 2019,uphold,Richard Wood,10 May 2023,Vehicle condition and finance options,"Faulty clutch, old tyres, lack of better finance options","Compensation for inconvenience, stress, and alternative travel arrangements","Miss F acquired a car with finance from Kia. She complained about a faulty clutch, old tyres, lack of better finance options, and the early settlement figure affecting her credit rating. Kia did not agree with her complaint points. The FOS investigator concluded that the clutch was faulty and awarded £200 compensation. Miss F rejected the offer and asked for an ombudsman review.","The ombudsman agreed with the investigator's findings that the clutch was faulty and that £200 compensation was not enough. He increased the compensation to £400 for the inconvenience, stress, and alternative travel arrangements caused by the car breakdowns.",Santander Consumer (UK) Plc
DRN-4049979,Ms M,Lloyds Bank Plc,Banking,Failure to protect her from a crypto investment scam and subsequent financial loss.,Cryptocurrency investment,"Crypto scam, Fraud, Financial loss","Payment authorisation, Scam prevention, Customer protection",9150,,Do not uphold,Lisa De Noronha,6 July 2023,Unauthorised transactions and failure to prevent a scam,"Lloyds Bank did not adequately warn her about the risk of fraud and scams, and its intervention after blocking initial payments caused her to make further payments via a different channel, resulting in financial loss.",Refund of the lost funds and acknowledgement of Lloyds' responsibility in the matter.,"Ms. M fell victim to a crypto investment scam after her friend's social media account was hacked. Despite initial attempts by Lloyds to block suspicious transactions, Ms. M bypassed these measures and made payments totaling £9,150 to crypto platforms. She claims that Lloyds should have done more to prevent the scam and seeks reimbursement for her losses.","The Ombudsman considered the evidence and concluded that Ms. M's payments were not sufficiently unusual or suspicious to warrant intervention by Lloyds. Even if Lloyds had intervened, it is unlikely that Ms. M would have heeded any warnings given her determination to proceed with the investments. The Ombudsman also determined that Lloyds was not responsible for recovering the lost funds as they were transferred to a wallet account in Ms. M's name and any further transfers would have been untraceable.",Lloyds Bank PLC
DRN-4050660,Mrs J,Great Lakes Insurance SE,Insurance,Service received when seeking assistance under her travel insurance policy,Annual travel insurance policy,"Medical assistance, repatriation, distress","Accommodation, communication, medical care",500,April 2022,Partially uphold,David Curtis-Johnson,2 June 2023,"Delay in medical discharge report, lack of empathy, unsuitable accommodation, distress caused",Great Lakes did not act fairly and reasonably when providing medical assistance,Compensation for distress and inconvenience,"Mrs J, an elderly woman, injured herself while on holiday and required medical assistance. Great Lakes, her travel insurance provider, arranged for her repatriation but there were delays and difficulties in providing suitable accommodation and assistance. Mrs J felt that she was not treated with empathy and that her needs were not adequately met.",The Ombudsman found that Great Lakes did not act fairly and reasonably in providing medical assistance to Mrs J. They should have explored alternative accommodation options and provided medical support outside of the hospital. The delays and lack of communication caused unnecessary distress and inconvenience to Mrs J.,Great Lakes Insurance SE
DRN-4051227,Mr W,HSBC UK Bank Plc,Banking,HSBC failed to prevent him from being scammed on his joint account.,Joint bank account,"Investment scam, Online fraud, Cryptocurrency","Investment scams, Online security, Financial loss",,March 2021,Opposite,Amy Osborne,26 April 2023,Investment scams and the bank's failure to prevent them.,The complainant believed that HSBC should have intervened and prevented him from making certain payments that were part of the scams.,The complainant wanted HSBC to refund the money he lost in the scams.,"Mr. W was involved in two separate investment scams. He invested in both scams during March 2021 and realized they were not genuine at the end of the same month. He made the last payment in desperation to try and recover any of his funds. HSBC tried to recover funds but was not able to. Mr. W brought his complaint to the Financial Ombudsman Service, and the case was partially upheld by the investigator. However, HSBC asked for an ombudsman to review the complaint.","The Ombudsman found that HSBC should have intervened on the fourth payment Mr. W made to the scams, but that an intervention would not have stopped him from going ahead with either scam. The Ombudsman also found that HSBC was not responsible for the losses incurred by Mr. W as he had enough red flags to stop but continued sending funds.",HSBC UK Bank Plc
DRN-4051478,Mr J,Berkshire Hathaway International Insurance Ltd,Motor insurance,Declined claim on commercial motor insurance policy after van was stolen,Commercial motor insurance policy,"stolen van, insurance claim, policy exclusion","coverage dispute, policy interpretation, insurer's liability",,,uphold,Phillip Berechree,10 July 2023,Declined insurance claim for stolen van,Berkshire Hathaway unfairly applied the exclusion for limitation on use,"Payment of his claim, including interest","Mr. J's van was stolen after he left it at a construction site. Berkshire Hathaway declined his claim, stating that the van was not covered for business use. Mr. J argued that he was not using the van for business purposes at the time of the theft.","The Ombudsman found that Berkshire Hathaway did not have sufficient evidence to show that Mr. J was using the van for business purposes. Therefore, the Ombudsman determined that it was unfair and unreasonable for Berkshire Hathaway to decline the claim.",Berkshire Hathaway International Insurance Ltd
DRN-4051565,S,Barclays Bank UK Plc,Banking,Barclays Bank UK Plc didn't do enough to prevent the loss it suffered when it sent money to a Barclays account as the result of a scam.,Payment services,"scam, payment, account","fraud, account opening, payment processing",,9 June 2022,dont uphold,Richard Annandale,17 October 2023,Barclays Bank UK Plc didn't do enough to prevent the loss it suffered when it sent money to a Barclays account as the result of a scam.,S believed that Barclays should have done more to prevent the loss it suffered as a result of the scam.,S wanted the rest of its money to be returned.,"S sent a payment of $43,831.10 from its own bank N to Barclays. S believed it was making a payment to settle an invoice. The payment arrived in a Barclays account where it credited as £34,284.94. S later realised that a scammer had used a very similar email address to who it expected the invoice from and that it had been tricked into making the payment. S reported this to its own bank and also contacted Barclays. Barclays returned around $8 that they'd been able to recover from the account. S complained to Barclays and wanted the rest of its money to be returned. Barclays declined to do more.","The Ombudsman considered all the available evidence and arguments and reached the same outcome as the Investigator. The Ombudsman did not think that Barclays had caused the loss or hindered its recovery. The Ombudsman was satisfied that Barclays correctly followed its process when opening the account in question and that there was nothing at that time where they reasonably could have known the account they were opening would later go on to be used in connection with a fraud or scam. The Ombudsman also considered the regulations (Payment Services Regulations 2017, PSRs) and concluded that Barclays were not obliged to check any of the additional information provided with the payment instruction. The Ombudsman also considered the statements for the account that received S payment and did not think this was so suspicious or indicative of potential fraud such that Barclays should have done more. The Ombudsman was satisfied that Barclays were only able to recover around $8 which has since been returned to S.",Barclays Bank UK PLC
DRN-4051859,Mr R,HSBC UK Bank Plc,Banking,Incurred charges and interest on a credit card account due to changes made by the bank without prior notification.,Credit card account,"Credit card, charges, interest","Unfair charges, lack of communication, inconvenience",,,uphold,Warren Wilson,16 May 2023,Changes to a credit card account resulting in unexpected charges and interest.,The complainant was not notified about the changes that led to the unexpected charges and interest.,"Refund of incurred charges and interest, compensation for inconvenience.","HSBC made changes to Mr. R's credit card account, resulting in interest and charges on transactions that were previously not subject to such fees. Despite acknowledging their error, HSBC failed to promptly notify Mr. R about these changes. Following an investigation, HSBC agreed to refund the incurred interest and charges totaling £189.98 and offered an additional £50 for the inconvenience caused.","The Ombudsman considered the evidence and arguments presented by both parties and deemed HSBC's offer of a full refund of the incurred charges and interest, along with £50 for inconvenience, to be fair and reasonable. The Ombudsman acknowledged the inconvenience faced by Mr. R due to the issue and the time taken to resolve the matter, and concluded that the offered compensation adequately addresses the complaint.",HSBC UK Bank Plc
DRN-4051884,Ms M and Mr M,British Gas Insurance Limited,Home insurance,"Handling, service and decline of a boiler claim",Home emergency HomeCare policy,"boiler, powerflush, delay","repair, communication, compensation",,,uphold in part,John Quinlan,20 July 2023,"The handling, service and decline of a boiler claim by British Gas Insurance Limited under a home emergency HomeCare policy.",BG never told him that he needed to have a power flush.,"A new boiler, the loss of rental income, the loss in house value, and the loss of quality of life.","Mr. M made a claim when his boiler broke down. British Gas (BG) informed him that a powerflush was required, which he did not get done. BG later agreed to repair the boiler but then said it needed further parts. Mr. M argues that BG should have informed him about the powerflush earlier and that he suffered unreasonable delays and inconvenience due to missed appointments and the time taken to resolve the issue.","The Ombudsman found that BG did inform Mr. M about the need for a powerflush in 2016 and 2021. However, he considered that BG could have made its conclusions sooner, causing unreasonable delays and inconvenience to Mr. M. The Ombudsman also found that there were discrepancies in the number of missed appointments reported by Mr. M and BG. He awarded Mr. and Ms. M £150 compensation for the distress and inconvenience caused.",British Gas Insurance Limited
DRN-4053535,Mr B,Nationwide Building Society,Finance,Nationwide closed his account without notice after an incident in branch.,Bank account,"Account closure, assault, police involvement","Customer service, safety, communication",,Early 2019,Dont uphold,Gemma Bowen,26 April 2023,The closure of his bank account without notice,Nationwide failed to adequately safeguard him and did not do enough to protect him from an assault in the branch.,Mr B wanted Nationwide to acknowledge that they were at fault for closing his account and to compensate him for the distress and inconvenience caused.,"Mr B was in a branch of Nationwide when he told staff that he had been assaulted by a customer and asked for the police to be called. The situation became inflamed and Mr B was detained by the police for abusive, threatening behaviour and assault. The charges were later dropped and Mr B was released from prison. He was unhappy that Nationwide closed his account without notice and felt that they could have done more to protect him.",The Ombudsman considered all the available evidence and arguments and concluded that Nationwide was entitled to close Mr B's account without notice in the circumstances. The Ombudsman noted that Mr B was arrested after the incident in branch and that the branch manager's statement to the police suggested that Mr B was threatening staff and customers. The Ombudsman also considered that Mr B had brought his complaint almost four years after the event complained about and that it would not be reasonable to expect Nationwide to have retained CCTV footage or to now find corroborating evidence from other customers.,Nationwide Building Society
DRN-4054809,Mr L,Covea Insurance plc (Covea),Insurance,Cancellation of insurance policy without notice and refusal to consider a claim.,Accident insurance policy,"Cancellation, Non-communication, Distress","Insurance policy cancellation, Communication failure, Claim rejection",150,,uphold,Susan Peters,8 July 2023,Cancellation of insurance policy and refusal to consider a claim,Non-receipt of policy cancellation notice and subsequent claim rejection,"Reinstatement of insurance cover, consideration of the claim, and compensation for distress","Mr. L held an accident insurance policy with Covea. In 2022, he attempted to make a claim but was informed that the policy had been discontinued, and a cancellation letter was sent in May 2021. Mr. L claimed he never received the letter and complained to Covea, who refused to reinstate the cover. The Ombudsman became involved to review the complaint.","The Ombudsman considered that Covea should have made more than one attempt to contact Mr. L regarding the policy cancellation. Despite Mr. L's postal delivery issues, Covea could have followed up with a second letter or email. The Ombudsman also acknowledged Mr. L's explanation for not noticing the ceased premium payments. Therefore, the complaint was upheld.",Covea Insurance plc
DRN-4054958,Mrs D,HSBC UK Bank Plc,Banking,Charges applied to overdraft and poor service,Overdraft facility,"Overdraft charges, automated systems, difficulty speaking to a person","Overdraft charges, customer service, communication difficulties",,,not upheld,Caroline Davies,2 June 2023,Overdraft charges and poor service,Mrs D wants HSBC to waive the charges applied to her overdraft before she pays off the outstanding balance.,"Waive overdraft charges, improve customer service, and reduce reliance on automated systems",Mrs. D complained about charges applied to her overdraft and poor service from HSBC. She had difficulty reaching a human representative and disliked the bank's automated systems. HSBC maintained that the charges were in line with the account's terms and conditions and that it had an automated service to assist customers. The complaint was not upheld as the Ombudsman found no evidence of unfair treatment or unreasonable behavior from HSBC.,"The Ombudsman considered the evidence and determined that HSBC did not treat Mrs. D unfairly or unreasonably. While Mrs. D expressed dissatisfaction with the charges, the Ombudsman noted that assessing the fairness and proportionality of the charges is a commercial decision outside their scope. The Ombudsman also acknowledged Mrs. D's concerns about the automated systems but stated that they cannot dictate how a bank operates its processes. The Ombudsman concluded that HSBC was entitled to charge for its overdraft facility and that Mrs. D had not made them aware of any financial difficulties.",HSBC UK Bank Plc
