Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-4154058,Miss S,Lloyds Bank plc (Lloyds),Banking,Poor customer service when she queried changes to her bank account.,Club Lloyds account,"Customer service, communication, compensation","Changes to bank account, poor explanation, inadequate compensation",,March 2023,Do not uphold,Barry White,8 November 2023,Changes to her Club Lloyds account and the poor customer service she received when she queried these changes.,She was not given a satisfactory explanation for the changes and felt that Lloyds did not handle her complaint well.,A higher level of compensation for the poor service she received.,"Miss S complained about the poor customer service she received from Lloyds when she queried changes to her Club Lloyds account. She was not given a satisfactory explanation for the changes and felt that Lloyds did not handle her complaint well. Lloyds offered her £40 in compensation, which she rejected.","The Ombudsman considered all the available evidence and arguments and decided that Lloyds had acted fairly in increasing the amount that was needed to be paid into the bank account to avoid the monthly fee. The Ombudsman also considered that Lloyds could have provided better service to Miss S when she raised her query about this, but that the compensation it had paid her was sufficient.",Lloyds Bank PLC
DRN-4162293,Mr H,Lloyds Bank PLC,Banking,"Late mobile app notification of a direct debit payment, leading to an unpaid direct debit and subsequent charges.",Mobile banking app,"mobile app notification, direct debit, late payment","timeliness of notifications, reliance on app notifications, responsibility for managing account balance",,20 September 2022,not upholding,Helen Sutcliffe,4 August 2023,Timing of a mobile app notification for a direct debit payment,The app notification arrived too late for him to pay in cleared funds to prevent the direct debit from being returned unpaid.,"Earlier app notifications for direct debit payments, similar to the service offered by another bank.","Mr. H complained about the timing of a mobile app notification he received from Lloyds Bank PLC. He relies on the notifications to manage his account as he doesn't keep funds in it due to security concerns. On 20th September 2022, a direct debit payment left his account just after 1 am, and Lloyds sent him a text message at around 8.30 am informing him of an unarranged overdraft and the need to pay in cleared funds by 2.30 pm. However, Mr. H received the app notification that the direct debit payment had left his account at 11.57 pm, after the direct debit had already been returned unpaid. He argues that the app notifications should be sent as soon as the direct debit leaves his account to avoid such situations.","The Ombudsman considered the evidence and Lloyds' guidance on push notifications, which states that direct debit notifications will be delivered during the day if the payment leaves the account overnight. In this case, the app notification was sent later in the same day, which is in line with Lloyds' app operations. The Ombudsman acknowledged the inconvenience faced by Mr. H but emphasized that Lloyds is entitled to make business decisions about how their mobile app operates, including the timing of notifications. While it would be more convenient for Mr. H to receive earlier notifications, the Ombudsman did not find that Lloyds had done anything wrong or treated him unfairly.",Lloyds Bank PLC
DRN-4169721,Mrs J,Lloyds Bank PLC,Banking,Unauthorised cash machine withdrawal of £500,Cash machine,"Unauthorised transaction, CCTV footage, Liability","Unauthorised transaction, Investigation, Liability",500.0,October 2021,Do not uphold,Sonal Matharu,9 August 2023,Unauthorised cash machine withdrawal,CCTV footage had not been obtained and reviewed,Refund of the disputed cash machine withdrawal,"Mrs J attempted to make a cash machine withdrawal of £10 but saw £500 had been debited from her account. Lloyds investigated and found that the £500 cash machine withdrawal was a separate transaction to the £10 withdrawal, and that it was authenticated using Mrs J's genuine card and corresponding PIN. Mrs J disagreed with Lloyds' decision and asked the Financial Ombudsman Service to review her complaint.","The Ombudsman considered the available evidence and concluded that it was more likely than not that Mrs J or someone with her consent made the disputed cash machine withdrawal. The Ombudsman noted that the technical evidence showed that Mrs J's genuine card and corresponding PIN were used to make the withdrawal, and that there was a relatively short time between the disputed transaction and Mrs J's attempt to withdraw £10.",Lloyds Bank PLC
DRN-4170271,Miss D,Lloyds Bank PLC,Banking,Lloyds Bank PLC closed her accounts when she asked for support putting her in a worse position financially.,Overdraft facility,"Overdraft, Financial difficulty, Closure of accounts","Affordability of overdraft, Communication between bank and customer, Closure of accounts",,,uphold,Caroline Davies,13 July 2023,The complainant was complaining about the way Lloyds Bank PLC handled her overdraft account and the subsequent closure of her accounts.,The complainant felt that Lloyds Bank PLC should have done more to support her when she was experiencing financial difficulty and that the closure of her accounts had caused her further stress and impacted her credit score.,"The complainant wanted Lloyds Bank PLC to refund all interest and charges applied to her overdraft facility, remove the overdraft facility on both accounts, and reimburse her for the cost of travel insurance.","The complainant had two accounts with arranged overdrafts with Lloyds Bank PLC. She struggled with the affordability of her overdraft over the years and had contacted Lloyds Bank PLC on several occasions to request help. Lloyds Bank PLC had offered her some assistance, such as freezing overdraft interest and charges, but the complainant felt that this was not enough. In October 2022, Lloyds Bank PLC declined her request for a further interest freeze and closed her accounts. The complainant complained to the Financial Ombudsman Service.","The Ombudsman found that Lloyds Bank PLC should have done more to help the complainant when it was clear that she was experiencing financial difficulty. However, the Ombudsman also found that the action Lloyds Bank PLC had already taken to put things right, such as refunding interest and charges and removing the overdraft facility, was fair and reasonable in the circumstances. Therefore, the Ombudsman did not require Lloyds Bank PLC to do anything more.",Lloyds Bank PLC
DRN-4191269,Mr B,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank PLC (Lloyds) wont refund money he lost after falling victim to a scam.,Investment loan,"Investment scam, Payment authorisation, Due diligence","Investment fraud, Bank's responsibility, Financial loss",300000.0,,opposite,Lisa Lowe,13 July 2023,Unauthorised payments and failure to prevent fraud,Lloyds should have prevented the payments as they were suspicious and should have been flagged for further investigation.,Refund of the lost money,"Mr. B, the complainant, made several payments totaling £300,000 to an investment firm based on the recommendation of a friend. The payments were made to accounts in the name of S, a company based in Liechtenstein. After receiving returns for a few months, the payments stopped, and Mr. B discovered that S had gone bankrupt and was possibly involved in a Ponzi scheme. He claimed that Lloyds should have prevented the payments as they should have asked more questions about the investment and the beneficiaries.","The Ombudsman found that while Lloyds should have asked more questions about the payments, they did not act unreasonably in following Mr. B's payment instructions. The Ombudsman considered the information available to Lloyds at the time of the payments and concluded that there were no clear indications of fraud or concerns that would have warranted stopping the payments. The Ombudsman also noted that Mr. B had the ability to complete checks or get investment advice before proceeding with the payments and that Lloyds is not obligated to provide unsolicited investment advice.",Lloyds Bank PLC
DRN-4193614,Mr B,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank PLC (Lloyds) wont refund him after he bought an item that wasn't as described.,Gold bracelet,"Payment, Fraud, Misrepresentation","Online scams, Buyer protection, Liability for fraudulent payments",1140.0,February 2023,Do not uphold,Jay Hadfield,28 December 2023,Purchase of a fake gold bracelet from a classified advertisement seller,"The seller lied to and deceived him, and he believes he was buying genuine gold.",Refund of the money he lost,"Mr. B saw an advertisement for a gold bracelet on a classified advertisement site and contacted the seller. The seller brought the bracelet to Mr. B's house and claimed to work for a jewelry shop. Mr. B inspected the bracelet and made a payment of £1,140. Later, he discovered that the bracelet was fake and reported the incident to Lloyds. Lloyds declined to refund the money, stating that it was a buyer/seller dispute and that the transaction was not unusual.","The Ombudsman considered the evidence and determined that the CRM Code does not apply to private civil disputes, such as the one between Mr. B and the seller. While the seller may have made misleading claims, there is no evidence to suggest that Mr. B was induced to make payments by means of criminal deception. The payment was not sufficiently out of character or unusual that Lloyds should have had concerns when processing it. Therefore, the Ombudsman did not uphold the complaint.",Lloyds Bank PLC
DRN-4195413,Mr B,Lloyds Bank PLC (Lloyds),Financial services,"Conversion of mortgage basis from interest only to repayment, increase in contractual monthly payment (CMP), and not receiving the benefit of the Offset facility.",Offset mortgage,"Offset mortgage, contractual monthly payment, interest only mortgage","Mortgage terms and conditions, calculation of interest, operation of offset facility",,,Do not uphold,Jonathan Willis,9 January 2024,The complaint relates to the management of Mr B's offset mortgage account by Lloyds Bank PLC (Lloyds).,"Mr B believes that Lloyds has mismanaged his account, converted his mortgage to repayment without his consent, and that he is not receiving the benefit of the offset facility.","Mr B wants Lloyds to rectify the alleged errors in his account management, provide an explanation for the increase in his contractual monthly payment, and ensure that he receives the full benefit of the offset facility.","Mr B took out an offset mortgage with Lloyds in 2008. He made some large payments to his account but when his monthly payments didn't reduce, he complained to Lloyds. Lloyds investigated but said that his account had been managed in accordance with the terms and conditions. Mr B remained dissatisfied and approached the Financial Ombudsman Service for assistance.","The Ombudsman reviewed the available evidence and concluded that Lloyds had not acted unfairly or unreasonably. The Ombudsman noted that Mr B's mortgage offer and annual mortgage statement both confirmed that his mortgage was on an interest only basis, and there was no evidence to suggest that Lloyds had unilaterally changed it to a repayment mortgage. The Ombudsman also found that the contractual monthly payment was calculated correctly based on the full balance of the mortgage, and that Mr B was receiving the benefit of the offset facility as his overall balance had reduced.",Lloyds Bank PLC
DRN-4208523,Mr H,Lloyds Bank PLC,Banking,Unauthorised payments and failure to prevent fraud,Payment services,"scam, payments, authorisation","fraud, negligence, liability",67730.0,August 2021,not uphold,Claire Pugh,21 September 2023,"Payments made to a third party (T) through his Lloyds bank account without his authorisation, resulting in a significant financial loss.",He believed he was the victim of a scam and that Lloyds failed to protect him from financial loss.,He wanted Lloyds to refund the unauthorised payments and compensate him for the losses incurred.,"Mr H made payments to T after being advised by an individual named D, whom he had previous dealings with. He claims that D was a scammer and that he was manipulated into making the payments. Lloyds did not uphold his complaint, stating that there was insufficient evidence to prove that he was a victim of a scam and that the payments appeared to be authorised.","The Ombudsman considered the evidence and concluded that Mr H failed to demonstrate that he was a victim of a scam. It was established that D set up an account for Mr H with T, and Mr H provided his card details to fund the investment account. The Ombudsman found that Mr H authorised the payments, either directly or by providing D with the authority to act on his behalf. Additionally, the Ombudsman determined that Lloyds was not obligated to prevent the payments or attempt to recover them since they were made to a legitimate business and Mr H had consented to them.",Lloyds Bank PLC
DRN-4220380,Mr U,Lloyds Bank PLC,Banking,Outcome of a chargeback claim,Debit card,"Chargeback, VISA, Timeliness","Chargeback scheme rules, Timeliness of chargeback submission, Merchant defense",,,Dont uphold,Phillip McMahon,7 August 2023,"Chargeback claim submitted by Lloyds Bank PLC on behalf of Mr. U was unsuccessful, resulting in the re-debit of disputed transactions from Mr. U's account.","Mr. U believes that Lloyds Bank PLC's premature submission of the chargeback claim, without sufficient supporting evidence, caused his claim to fail and resulted in financial loss.",Mr. U wants Lloyds Bank PLC to take responsibility for the failed chargeback claim and compensate him for the re-debited transactions.,"Mr. U made payments to a merchant on 13 and 14 June 2022. He later disputed these transactions and Lloyds Bank PLC submitted a chargeback claim on 22 June 2022. However, Lloyds Bank PLC failed to provide sufficient evidence to support the claim within the timeframe set by VISA, resulting in the claim being defended by the merchant and the disputed amount being re-debited from Mr. U's account.","The Ombudsman considered the evidence and determined that Lloyds Bank PLC acted within the chargeback scheme rules by submitting the claim promptly. While the Ombudsman acknowledges that Lloyds Bank PLC could have gathered more evidence before submitting the claim, it is not persuaded that this would have changed the outcome of the chargeback claim. Therefore, the Ombudsman finds that Lloyds Bank PLC is not liable for the failed chargeback and dismisses the complaint.",Lloyds Bank PLC
DRN-4226543,Mrs K,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund money she paid for replacement windows which she didn't receive from the merchant.,Replacement windows,"Payment scam, Bank transfer, Failed business","APP scam, CRM Code, Liability for bank transfer payments",9500.0,,Do not uphold,Stephen Dickie,24 November 2023,"Payment of £9,500 to a company called W for replacement windows which were never supplied or fitted.",She believes that W was a fraudulent company and that Lloyds should have done more to protect her from making a payment to them by bank transfer.,"A refund of the £9,500 she paid to W.","Mrs K paid a deposit of £4,750 to W by Faster Payments bank transfer from her Lloyds account. She then made a second payment of £4,750 on 4 October 2021. W entered administration in January 2022 and the windows were never delivered or installed. Mrs K reported the matter to Lloyds, who initially accepted her view that she had been the victim of a scam and attempted to recover her money from the beneficiary account. However, nothing remained to be retrieved. Lloyds then explained to Mrs K that it believed she had a civil dispute with W and that it did not consider she was the victim of an Authorised Push Payment scam (APP scam).","The Ombudsman considered all the available evidence and arguments and concluded that the evidence was not strong enough to show that W was most likely acting fraudulently when Mrs K made the payments. He noted that W had been trading for at least five years, apparently legitimately, and that there were concerns about potential fraud that were referred to the Police and the Insolvency Service, but that neither had decided to pursue the investigation. He also noted that Mrs K could have chosen to pay W by card payment, which would have afforded the possibility of recourse under the chargeback scheme, but that she chose to pay by Faster Payments bank transfer. The Ombudsman concluded that he could not fairly hold Lloyds responsible for the loss suffered by Mrs K.",Lloyds Bank PLC
DRN-4233356,Ms M,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank PLC's failure to prevent her from gambling when she had a problem between September 2016 and July 2017.,Basic bank account,"gambling, transactions, statements","responsible lending, affordability, customer vulnerability",,,not upholding,Jeshen Narayanan,8 January 2024,failure to prevent gambling,Ms M complained that Lloyds Bank PLC (Lloyds) didn't do more to stop her from gambling when she had a problem between September 2016 and July 2017.,Ms M asked Lloyds to refund her the gambling transactions she made from her account.,"Ms M gambled away a significant amount of money through her Lloyds Bank account over a period of several months. She claims that Lloyds should have done more to stop her from gambling, as she was clearly in a vulnerable state. Lloyds argues that it had no way of knowing that Ms M was gambling, as she did not disclose this information to them. Furthermore, Lloyds states that it is not responsible for monitoring customers' accounts for signs of gambling addiction.","The Ombudsman found that Lloyds Bank PLC did not act unfairly or unreasonably towards Ms M. The Ombudsman considered all the available evidence and arguments and concluded that Lloyds did not have a duty to protect Ms M from her own gambling addiction, as she did not inform them of her problem. The Ombudsman also found that Lloyds was not required to review Ms M's account statements for signs of gambling activity, as she did not have an overdraft or any other type of formal borrowing on her account.",Lloyds Bank PLC
DRN-4235186,Mr S,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank PLC (Lloyds) wont refund him for money he's lost to an investment which he believes was a scam.,Investment bond,"Investment scam, Payment authorisation, Liability","Unauthorised transactions, Liability for fraudulent payments, Duty of care",,August 2018,I dont uphold the complaint.,Kathryn Milne,27 September 2023,Unauthorised transactions and request for refund,Belief that the investment was a scam and that the bank should have prevented the payments.,Refund of the lost money,"Mr S made two transfers from his Lloyds account to an investment company W, which turned out to be a scam. He believes the bank should have intervened to prevent the payments.","The Ombudsman considered that the transactions were not unusual based on the account activity and that even if Lloyds had intervened, it would not have made a difference as the investment company appeared legitimate at the time.",Lloyds Bank PLC
DRN-4238083,Ms F,Lloyds Bank PLC,Banking,Difficulties accessing her online banking account due to strong customer authentication changes that required the use of a phone.,Online banking,"Authentication, Accessibility, Vulnerable customer","Strong customer authentication, Digital exclusion, Alternative authentication methods",,,upholding,Nicolas Atkinson,10 August 2023,Online banking,"Unable to access online banking without a phone, which she doesn't have due to mobility issues and concerns about Covid.",Access to online banking without the need for a phone.,"Ms. F, a vulnerable customer with mobility issues, complained about Lloyds Bank's implementation of strong customer authentication, which required the use of a phone. Despite her concerns and lack of a phone, Lloyds Bank initially offered solutions that still involved a phone. After a lengthy delay, Lloyds Bank agreed to provide a token as an alternative authentication method, but failed to deliver it to Ms. F.",The Ombudsman found that Lloyds Bank's reliance on mobile phones for authentication was not inclusive of customers like Ms. F who do not possess or use phones. The Ombudsman also criticized Lloyds Bank for the lengthy delays and lack of empathy in handling the complaint.,Lloyds Bank PLC
DRN-4238774,Ms B,Lloyds Bank PLC,Banking,Lloyds Bank PLC did not refund a transaction she says she did not carry out.,Debit card,"fraud, unauthorized transaction, liability","unauthorized transaction, liability for unauthorized transaction, evidence of unauthorized transaction",496.61,23 November 2022,do not uphold,Rebecca Norris,21 September 2023,unauthorized transaction,Ms B says that a friend of hers observed her personal identification number (PIN) and took her debit card to make the withdrawal.,Refund of the £496.61,Ms. B reported an unauthorized withdrawal of £496.61 from her current account via an ATM on 23 November 2022. She claimed that her friend had stolen her debit card and PIN to make the withdrawal. Lloyds Bank PLC declined to refund the amount as they believed Ms. B's genuine card and PIN were used for the transaction. Ms. B disputed this and insisted that her friend must have obtained her card to carry out the transaction.,"The Ombudsman considered the evidence provided by both parties and concluded that Lloyds Bank PLC acted reasonably in declining Ms. B's claim for a refund. The Ombudsman noted that the withdrawal was made using Ms. B's genuine card and PIN, and that she had provided inconsistent statements about the circumstances of the incident. The Ombudsman also noted that Ms. B had not provided clear evidence to support her claim that her friend had taken her card and PIN.",Lloyds Bank PLC
DRN-4243193,Mr B,Lloyds Bank PLC,Banking,Declined claim for a refund on a flight booking made using his credit card.,Credit card,"['Chargeback', 'Section 75', 'Misrepresentation']","['Consumer rights', 'Financial services', 'Travel']",,,Dont uphold,Mark Lancod,22 October 2023,Declined claim for a refund on a flight booking made using his credit card.,He feels he is being punished for something that is not his fault and this is a stressful situation.,A refund for the cost of the flights.,"Mr. B booked flights for a family member using his credit card, but they were denied permission to fly due to visa issues. He sought a refund from the travel agent and the airline but was unsuccessful. Lloyds Bank, the credit card provider, declined his claim and reversed a temporary credit. Mr. B complained to the Financial Ombudsman Service, citing poor communication from Lloyds during the dispute.","The Ombudsman considered the chargeback and Section 75 claims made by Mr. B. He determined that Lloyds acted reasonably in discontinuing the chargeback claim as there was no suitable reason code for the situation. Regarding Section 75, the Ombudsman found that Mr. B did not have a valid agreement with the airline or the travel agent to make a claim. He also concluded that there was no clear breach of contract or misrepresentation by the travel agent. While acknowledging Mr. B's dissatisfaction with Lloyds' customer service, the Ombudsman found that the bank had taken reasonable steps to communicate with him. The Ombudsman offered sympathy for Mr. B's situation but declined to uphold the complaint.",Lloyds Bank PLC
DRN-4245105,Mr and Mrs B,Lloyds Bank PLC (Lloyds),Banking,"Being charged for their fee-paying packaged account in 2021 despite having a fee-waiver feature that exempted them from the monthly fee if they kept at least £2,000 in their account.",Gold account,"Packaged account, fee-waiver, mis-sold","Mis-selling of the account, removal of the fee-waiver, unfairness of the bank's actions",,,Dont uphold,Thomas White,19 October 2023,Packaged bank account,They were being charged a monthly fee for their packaged bank account despite having a fee-waiver that exempted them from the fee if they kept a certain amount of money in their account.,They wanted the bank to reinstate the fee-waiver or allow them to switch to a fee-free account without losing the benefits of the Gold account.,"Mr and Mrs B had a Gold account with Lloyds Bank that included a fee-waiver feature, which exempted them from the monthly account fee if they kept at least £2,000 in their account. In 2021, Lloyds removed the fee-waiver from all Gold accounts, including Mr and Mrs B's account. They complained to Lloyds, arguing that the removal of the fee-waiver was a breach of contract and that the account had been mis-sold to them.","The Ombudsman considered the arguments presented by both sides and concluded that Lloyds was entitled to remove the fee-waiver feature from the Gold account as the account terms and conditions contained a variation clause that allowed the bank to make changes to the cost or benefits of the account, provided sufficient notice was given. The Ombudsman also found that Lloyds had provided Mr and Mrs B with reasonable notice of the fee-waiver removal.",Lloyds Bank PLC
DRN-4245841,Mr M,Lloyds Bank PLC,Banking,The amount of information Lloyds Bank PLC asked him for when trying to arrange a new interest rate product on his mortgage.,Mortgage,"mortgage rate, information requested, application process","mortgage product switch, information required for mortgage application, reasonableness of information requested",,,dont uphold,Rob Deadman,4 January 2023,mortgage rate,The amount of information Lloyds Bank PLC asked him for when trying to arrange a new interest rate product on his mortgage was unreasonable.,Mr M asked Lloyds to honour the rate available in 2021.,"Mr M complained about the amount of information Lloyds Bank PLC asked him for when trying to arrange a new interest rate product on his mortgage. He said that the amount of information he was asked for in 2021 was unreasonable and that it prevented him from proceeding with the application. Lloyds Bank PLC did not uphold Mr M's complaint and said that it can only secure a rate when an application is made, and Mr M did not make an application.","The Ombudsman considered all the available evidence and arguments and decided that it was not likely that the amount of information Mr M was asked to provide was unreasonable to the point of preventing him from going ahead with a mortgage transfer. The Ombudsman also noted that Mr M did not raise a complaint at the time or look to move his mortgage elsewhere, which suggests that the experience may not have been as bad as he claims. The Ombudsman concluded that Mr M was frustrated at having to provide further information and chose not to proceed in 2021, and that he now regrets that decision given the large increase in interest rates since.",Lloyds Bank PLC
DRN-4249207,Mr T,Lloyds Bank PLC,Banking,Refusal to refund money lost to an investment scam.,Binary options,"Investment scam, Binary options, Due diligence","Fraud prevention, Regulatory compliance, Customer protection",4400.0,,uphold,Dolores Njemanze,27 October 2023,Investment scam,Lloyds Bank PLC refused to refund the money he lost to an investment scam.,"Refund of the payments made to D totalling £4,400.","Mr T invested £4,400 in a binary options scam through a company called D. He contacted Lloyds to assist with recovering his money in 2018 but it advised that he was out of time for it to process any chargeback claims. Mr T formally complained to Lloyds in October 2022. The bank declined to refund Mr T, so he referred his complaint to the Financial Ombudsman Service.","The Ombudsman found that Lloyds Bank PLC should have been aware of the potential for fraud and should have taken steps to protect Mr T. The Ombudsman considered that Lloyds should have monitored accounts and payments, maintained systems to look out for unusual transactions, and taken additional steps to verify the legitimacy of the payments. The Ombudsman also found that Lloyds should have provided a scam warning to Mr T before processing the payments.",Lloyds Bank PLC
DRN-4250001,Mr R,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund unauthorized transactions made from his account.,Savings and current account,"unauthorized transactions, refund, timeliness","unauthorized transactions, liability for unauthorized transactions, timeliness of reporting unauthorized transactions",,,I dont uphold this complaint.,Rebecca Hardman,8 September 2023,unauthorized transactions,"The complainant reported the unauthorized transactions more than 13 months after they occurred, which is beyond the time frame specified in the terms and conditions of his account.",Refund of the unauthorized transactions.,"The complainant, Mr. R, had an account with Lloyds Bank PLC. While he was in prison overseas, someone transferred his savings into his current account and then spent or withdrew all his funds. Mr. R reported this to Lloyds, but the bank refused to refund the payments because they had occurred more than 13 months before he reported them. Mr. R argued that he could not have made the payments himself as he was in prison during the relevant period and did not have access to online banking.","The Ombudsman considered the relevant regulations and the terms and conditions of Mr. R's account, which stated that the bank would not refund payments reported more than 13 months after they were made. The Ombudsman noted that Mr. R did not contact Lloyds until 18 months after the last disputed transaction. While the Ombudsman acknowledged that Mr. R was in prison during the relevant period, he also found that Mr. R had allowed a friend to have access to his online banking and that he was aware that a third party may have tried to access his savings. The Ombudsman concluded that Mr. R had not reported the unauthorized transactions within the required time frame and that Lloyds was entitled to rely on the terms and conditions of the account.",Lloyds Bank PLC
DRN-4260868,Miss R and Mr S,Lloyds Bank PLC,Banking,Unfairly chased to repay mortgage arrears despite making payments in accordance with a court order,Mortgage,"mortgage arrears, possession order, unfair treatment","mortgage arrears, communication between bank and customer, debt collection practices",,,uphold,Ruth Stevenson,2 October 2023,Lloyds Bank PLC's collection practices after a suspended possession order (SPO) was issued by the court.,Miss R and Mr S complained that Lloyds Bank PLC unfairly chased them to repay their mortgage arrears when they were making payments in accordance with a court order.,"Lloyds to stop collection activity, put aside a possession order from 2012, reimburse court fees, and compensate them for their time, inconvenience, and upset.","Miss R and Mr S mortgage was in arrears. Lloyds started legal action in 2022 and obtained permission from the court to enforce a possession order issued in 2012. Miss R and Mr S applied for a suspended possession order (SPO) and made payments in accordance with the SPO. However, Lloyds continued to harass them to pay the arrears. Lloyds argues that they did not agree to a payment arrangement and that they were entitled to take legal action.","The Ombudsman found that it was fair for Lloyds to take legal action in 2022 and to ask for information to agree on an arrangement to repay the arrears. However, it was unfair for Lloyds to continue collection activity after the court issued the SPO, as long as payments were maintained. The Ombudsman also found that Lloyds should have left the direct debit in place, as it caused inconvenience to Miss R and Mr S. The Ombudsman awarded Miss R and Mr S £500 compensation for the additional upset and worry caused by Lloyds' collections activity between mid-October 2022 and May 2023.",Lloyds Bank PLC
DRN-4268238,"S, a charity",Lloyds Bank PLC,Banking,Poor service and delay in opening a new bank account,Bank account,"Account opening delay, Communication failure, Financial loss","Application process, Lack of communication, Missed funding opportunities",,,opposite,Juliet Collins,22 December 2023,Delay in opening a new bank account and missing out on funding opportunities,"Inadequate communication from Lloyds Bank about the account opening process, resulting in missed funding opportunities and inconvenience.",Compensation for the inconvenience faced and reimbursement of any funding opportunities missed due to the delay.,"S, a charity, applied for a new bank account with Lloyds Bank in March 2022. The application process was not completed due to an interrupted phone call and subsequent miscommunication between S and Lloyds. S claims to have made multiple follow-up calls during the 90-day period but faced conflicting information and delays. The account was eventually opened in September 2022 after S resubmitted the application. S alleges that the delay caused them to miss out on funding opportunities.","The Ombudsman found that while there were some communication issues and delays on Lloyds' part, S also contributed to the delay by not promptly following up on the application after the initial call. The Ombudsman considered the compensation already provided by Lloyds to be fair and reasonable and did not require any further action from the bank.",Lloyds Bank PLC
DRN-4276035,Mr B,Lloyds Bank Plc,Banking,"Unfair treatment in relation to his credit card account, including being notified of arrears, contacted by collections team, and having credit limit reduced.",Credit card,"Arrears, collections, credit limit","Account management, communication, financial difficulty",,,Do not uphold,Rod Glyn-Thomas,30 October 2023,The complaint relates to the way Lloyds Bank Plc has treated Mr B since he raised a Section 75 claim under the Consumer Credit Act 1974 regarding a transaction relating to flights.,"Mr B feels that Lloyds Bank Plc has treated him unfairly by notifying him of arrears on his credit card account, having its collections team contact him, and subsequently reducing his credit limit on his credit card account.","Mr B wants Lloyds Bank Plc to acknowledge that they have treated him unfairly and to take steps to rectify the situation, such as removing the arrears from his credit file and restoring his credit limit.","Mr B made a Section 75 claim under the Consumer Credit Act 1974 to Lloyds regarding a transaction relating to flights which was made in 2022. Lloyds has provided evidence that Mr B didn't make the monthly payments to his credit card for some time from November 2022 onward. As a result, Lloyds recorded those missing payments and applied charges, and reported this on his credit file. Mr B feels that Lloyds treated him unfairly regarding his S75 claim against the merchant, but the Ombudsman finds that this does not excuse him from his obligation to pay what he owed Lloyds on a monthly basis. Lloyds also changed how it approached matters and passed Mr B's account to its collections team after he failed to make the required payments. Subsequently, Lloyds reduced Mr B's credit limit after reviewing his account and considering factors such as the management of the account.","The Ombudsman finds that Lloyds has acted fairly in managing Mr B's credit card account. Mr B was notified of arrears, contacted by the collections team, and had his credit limit reduced because he failed to make the required monthly payments. The Ombudsman acknowledges that Mr B is disputing a transaction with a merchant, but this does not absolve him from his responsibility to pay what he owes Lloyds. The Ombudsman also finds that Lloyds is entitled to review and adjust credit limits based on account management factors.",Lloyds Bank PLC
DRN-4278477,Mrs M,Lloyds Bank Plc,Banking,Failure to refund money lost in an investment scam.,Online cryptocurrency investment platform (B),"Investment scam, Cryptocurrency, Fraud","Investment fraud, Bank's duty of care, Liability for authorized payments",5000.0,15 February 2022,Do not uphold,Sophie Mitchell,10 October 2023,Investment scam and unauthorized payments,Lloyds failed to prevent the scam and recover the lost funds.,Refund of the lost money.,"Mrs. M was scammed into investing in a fake cryptocurrency investment platform (B) and lost \u00a35,000. She claims that Lloyds should have done more to prevent the scam and recover the funds.","The Ombudsman agreed with the investigator's conclusion that Lloyds was not liable for Mrs. M's loss. While Lloyds did flag the \u00a35,000 payment as unusual, Mrs. M's answers to the bank's questions did not indicate that she was being scammed. Additionally, Lloyds is not obligated to refund the money under the Contingent Reimbursement Model (CRM) Code as the payments were made to Mrs. M's own accounts with third-party cryptocurrency trading companies.",Lloyds Bank PLC
DRN-4286587,Ms C,Lloyds Bank plc (Lloyds),Banking,Delay in receiving a replacement debit card,Debit card,"Replacement debit card, Delay, Postal strike","Issuance of replacement debit card, Delay in delivery, Alternative options offered",,mid-December 2022,Do not uphold,Barry White,13 December 2023,Replacement debit card not received in time for overseas travel,Inconvenience caused due to the delay in receiving the replacement debit card and the lack of alternative delivery options provided by Lloyds.,Compensation for the inconvenience faced and a review of Lloyds' process for issuing replacement cards.,"Ms. C's debit card details were stolen when her mobile phone was stolen in mid-December 2022. She promptly contacted Lloyds to cancel the card and request a replacement. Despite being assured that the card would arrive within five working days, she had not received it by December 28, 2022. Ms. C urgently needed the card as she was traveling overseas on January 3, 2023, but Lloyds informed her that they could not expedite the delivery due to postal strike action and the Christmas holiday period. She received the replacement card only on January 10, 2023, causing inconvenience and requiring her to borrow money from family members.","The Ombudsman acknowledged the frustration experienced by Ms. C but concluded that Lloyds had acted reasonably under the circumstances. The delay in receiving the replacement card was primarily due to factors beyond Lloyds' control, such as the postal strike and the holiday period. Lloyds had followed their standard process for issuing replacement debit cards and had offered alternative solutions, such as transferring funds to another account and using the card online, which Ms. C declined. Therefore, the Ombudsman did not uphold the complaint.",Lloyds Bank PLC
